name,symbol,marketcap,price,supply
Bitcoin,BTC,1072421529570.02,57539.94,18637862
Ethereum,ETH,222227107888.83,1935.60,114810388
Binance Coin,BNB,45420831168.45,293.92,154532785
Polkadot,DOT,36242864920.83,39.70,913005243
Tether,USDT,34895372107.19,1.0003,34883796222
Cardano,ADA,34239897894.76,1.1005,31112484646
XRP,XRP,24906840533.95,0.5486,45404028640
Litecoin,LTC,15119642134.26,227.23,66538538
Chainlink,LINK,13951721504.70,34.15,408509556
Bitcoin Cash,BCH,13206381300.99,707.59,18663825
Stellar,XLM,11221258827.91,0.4988,22497955630
Uniswap,UNI,8695407152.51,28.83,301612659
USD Coin,USDC,8194630895.07,0.9999,8195078736
Dogecoin,DOGE,7193949909.46,0.05598,128509684256
Wrapped Bitcoin,WBTC,7103819890.92,57557.97,123420
Aave,AAVE,5409622796.27,435.85,12411554
NEM,XEM,5098805951.18,0.5665,8999999999
EOS,EOS,4861758696.94,5.1132,950832528
Huobi Token,HT,4735283324.42,25.34,186866518
Cosmos,ATOM,4553463211.42,21.59,210892194
Bitcoin SV,BSV,4527251582.17,242.59,18661808
Monero,XMR,4420078291.84,247.65,17848083
TRON,TRX,4261480373.31,0.05947,71659657369
IOTA,MIOTA,3897605146.12,1.4023,2779530283
Neo,NEO,3851922297.82,54.61,70538831
THETA,THETA,3565183023.38,3.5652,1000000000
Tezos,XTZ,3557183534.96,4.6734,761152398
VeChain,VET,3526783724.89,0.05484,64315576989
Crypto.com Coin,CRO,3394632234.18,0.1406,24143835615
FTX Token,FTT,3231174621.52,34.25,94346958
Dash,DASH,3014043133.30,301.69,9990425
Solana,SOL,2903297329.61,11.09,261900137
The Graph,GRT,2847716989.77,2.2861,1245666867
Avalanche,AVAX,2781118657.62,36.15,76937055
Synthetix,SNX,2621341770.02,22.83,114841533
Maker,MKR,2603792847.27,2616.08,995303
Terra,LUNA,2585595570.23,6.1244,422179367
Algorand,ALGO,2579210249.89,1.3082,1971625428
Filecoin,FIL,2449008439.11,44.79,54679570
Elrond,EGLD,2390905163.73,140.51,17015374
Dai,DAI,2317272343.61,1.0008,2315427960
Binance USD,BUSD,2258807022.30,1.0004,2257903861
SushiSwap,SUSHI,2208957541.89,17.36,127244443
Compound,COMP,2098699565.53,453.26,4630186
Decred,DCR,2057932426.88,162.80,12640607
PancakeSwap,CAKE,2004701892.36,16.65,120410199
Kusama,KSM,1901487803.08,224.49,8470098
Zcash,ZEC,1822516096.70,162.64,11205763
Ethereum Classic,ETC,1821748007.77,15.66,116313299
BitTorrent,BTT,1736552958.53,0.001754,989926369576
Ravencoin,RVN,1717951422.79,0.2093,8207185000
yearn.finance,YFI,1578587621.33,43089.85,36635
Voyager Token,VGX,1518151109.43,6.8294,222295208
Zilliqa,ZIL,1515212219.51,0.1379,10987284881
UMA,UMA,1501034490.74,26.77,56070717
UNUS SED LEO,LEO,1483328593.30,1.4841,999498893
Ren,REN,1379235806.92,1.3857,995363051
Nexo,NEXO,1333577997.92,2.3814,560000011
Celsius,CEL,1307803205.98,5.4751,238863520
OKB,OKB,1299919993.54,21.67,60000000
Waves,WAVES,1298122099.99,12.43,104421184
0x,ZRX,1295293630.42,1.7264,750306451
NEAR Protocol,NEAR,1223213439.59,4.1023,298178013
ICON,ICX,1208569747.48,2.0461,590667399
Ontology,ONT,1140705001.20,1.4119,807932992
THORChain,RUNE,1137066114.41,4.7721,238275761
DigiByte,DGB,1100848445.97,0.07825,14068389632
Hedera Hashgraph,HBAR,1081970713.80,0.1472,7350118417
Revain,REV,1031027616.63,0.01212,85061485690
renBTC,RENBTC,1028340731.71,57516.17,17879
Celo,CELO,943807063.18,5.1169,184447717
Loopring,LRC,931389930.20,0.764,1219036268
Bancor,BNT,921037905.81,6.5662,140269729
IOST,IOST,917023966.80,0.056,16374175762
Nano,NANO,909042229.48,6.8222,133248297
Basic Attention Token,BAT,901818986.73,0.6057,1488788106
OMG Network,OMG,887384753.20,6.3274,140245398
Fantom,FTM,879704101.05,0.3457,2545006273
Bitcoin BEP2,BTCB,820970059.50,57455.97,14289
Polygon,MATIC,805800099.26,0.1623,4966397110
Horizen,ZEN,770851056.33,71.38,10799838
SwissBorg,CHSB,760147111.44,0.8094,939100208
1inch,1INCH,727994031.68,5.0655,143715334
Venus,XVS,716542090.79,83.08,8624468
Qtum,QTUM,699041904.13,7.1220,98152973
HUSD,HUSD,677599572.79,0.9998,677763800
Paxos Standard,PAX,675011853.94,0.9999,675099791
DODO,DODO,673148662.57,6.8825,97805752
Curve DAO Token,CRV,670492516.77,2.9056,230761286
Siacoin,SC,650468132.51,0.01382,47057782992
TerraUSD,UST,605463099.52,1.0013,604670223
Stacks,STX,603906853.56,0.8163,739781894
Holo,HOT,594642903.29,0.003545,167754582739
Pundi X,NPXS,583413073.50,0.002477,235514908115
