name,symbol,marketcap,price,supply
Bitcoin,BTC,115948338189.55,6786.02,17086350
Ethereum,ETH,52645898057.71,526.48,99996174
XRP,XRP,23080617114.82,0.5881,39244312603
Bitcoin Cash,BCH,16138142000.13,939.55,17176525
EOS,EOS,10204700477.30,11.39,896149492
Litecoin,LTC,6093553542.77,107.04,56925873
Stellar,XLM,4607300207.59,0.2477,18603448037
Cardano,ADA,4585665032.92,0.1769,25927070538
IOTA,MIOTA,3818753736.19,1.3739,2779530283
TRON,TRX,3156091859.84,0.048,65748111645
Neo,NEO,2971063156.13,45.71,65000000
Tether,USDT,2502664252.88,0.9982,2507140346
Monero,XMR,2248777643.70,139.51,16119004
Dash,DASH,2226958950.98,274.04,8126367
NEM,XEM,1951442509.67,0.2168,8999999999
Vechain [Token],VEN,1843716070.77,3.3696,547165525
Binance Coin,BNB,1617584608.64,14.18,114041290
Ethereum Classic,ETC,1291464149.16,12.64,102198301
Ontology,ONT,1032514237.07,6.8246,151292175
Qtum,QTUM,1028379109.95,11.60,88660388
OmiseGO,OMG,966934280.58,9.4758,102042552
Bytecoin,BCN,872571130.74,0.004745,183890481254
Zcash,ZEC,836387719.56,203.68,4106406
ICON,ICX,825506595.89,2.1318,387231348
Zilliqa,ZIL,767700389.64,0.1044,7355568444
Lisk,LSK,759603850.51,7.1118,106808540
Aeternity,AE,680149236.63,2.9188,233020472
Decred,DCR,666124363.79,93.22,7145743
Bitcoin Gold,BTG,619558408.95,36.32,17058561
0x,ZRX,561125058.27,1.0559,531417201
Bytom,BTM,510704064.49,0.5174,987000000
Siacoin,SC,495435672.81,0.01416,34982868804
Steem,STEEM,480111302.04,1.8522,259210950
Verge,XVG,473146796.95,0.03143,15054315539
BitShares,BTS,452174853.71,0.1718,2632210000
Maker,MKR,423875207.17,685.63,618228
Nano,NANO,420908080.11,3.1588,133248289
RChain,RHOC,410728932.78,1.1395,360445603
Waves,WAVES,380779480.93,3.8078,100000000
Wanchain,WAN,368425154.59,3.4707,106152493
Dogecoin,DOGE,365371817.40,0.003182,114810442100
Golem,GNT,364423453.20,0.4342,839242000
Augur,REP,361371971.13,32.85,11000000
Bitcoin Diamond,BCD,355914181.78,2.3148,153756875
Stratis,STRAT,346686122.17,3.5058,98890420
Populous,PPT,331512217.18,8.9588,37004027
Bitcoin Private,BTCP,328036676.10,16.04,20457503
Mixin,XIN,325987425.28,745.01,437563
DigiByte,DGB,325674406.01,0.03139,10373513605
Waltonchain,WTC,305311026.18,9.8032,31144099
Status,SNT,281438038.50,0.08109,3470483788
Aion,AION,267845789.47,1.7758,150827007
IOST,IOST,261088194.70,0.03108,8400000000
Nebulas,NAS,256261878.25,5.6321,45500000
HyperCash,HC,251400115.91,5.8338,43093903
DigixDAO,DGD,249906478.88,124.95,2000000
Huobi Token,HT,242112794.39,4.8422,50000200
Loopring,LRC,230374869.09,0.4027,572074043
Basic Attention Token,BAT,228183180.09,0.2282,1000000000
Komodo,KMD,223121697.34,2.1402,104253933
GXChain,GXC,215479116.44,3.5913,60000000
KuCoin Shares,KCS,215311868.47,2.3731,90730576
WaykiChain,WICC,211087716.53,1.2035,175400000
aelf,ELF,198868483.30,0.7955,250000000
Ark,ARK,194862820.63,1.8896,103124352
Ardor,ARDR,193919460.08,0.1941,998999495
Elastos,ELA,184047074.20,35.68,5158714
Bancor,BNT,178853272.71,3.5395,50531086
MonaCoin,MONA,177496468.53,2.9544,60078025
MOAC,MOAC,169741734.57,4.7286,35897055
PIVX,PIVX,166687600.04,2.9542,56424466
Cryptonex,CNX,164854687.31,3.6381,45313649
Veritaseum,VERI,164425525.32,80.73,2036645
ReddCoin,RDD,163703073.35,0.005682,28808713174
Voyager Token,VGX,157897763.42,2.0552,76829679
Gas,GAS,157779721.84,15.58,10128375
CyberMiles,CMT,157248916.90,0.2279,689916839
Dentacoin,DCN,156445064.41,0.000481,325226613094
Bibox Token,BIX,154692092.26,1.4825,104342466
MaidSafeCoin,MAID,154099773.07,0.3405,452552412
QASH,QASH,150056995.45,0.4287,350000000
Kyber Network,KNC,148437404.71,1.1066,134132697
Syscoin,SYS,141048520.27,0.2636,535117515
Fusion,FSN,139555672.44,4.7013,29684331
Cortex,CTXC,139056467.11,0.9283,149792458
Mithril,MITH,134496729.97,0.4389,306417022
