name,symbol,marketcap,price,supply
Bitcoin,BTC,674455804209.67,34538.48,19527662
Ethereum,ETH,215947996013.56,1795.55,120268710
Tether USDt,USDT,84570810136.88,1.0004,84538113416
BNB,BNB,34459316449.10,227.15,151703949
XRP,XRP,29800751941.24,0.5564,53560508378
USDC,USDC,25040629793.65,1.0000,25040077642
Solana,SOL,13762372734.52,32.82,419295514
Cardano,ADA,10405348617.26,0.2953,35238590914
Dogecoin,DOGE,9822360713.50,0.06936,141615906384
TRON,TRX,8426596795.82,0.09488,88814369066
Toncoin,TON,7065506885.14,2.0588,3431892088
Chainlink,LINK,6182897228.74,11.10,556849970
Polygon,MATIC,5941791717.17,0.6382,9309803041
Wrapped Bitcoin,WBTC,5669861442.45,34572.49,163999
Polkadot,DOT,5391626598.81,4.3125,1250218788
Dai,DAI,5347487981.27,0.9999,5347888596
Litecoin,LTC,5078615591.13,68.80,73816183
Bitcoin Cash,BCH,4814469220.63,246.33,19544950
Shiba Inu,SHIB,4725617603.61,0.00000802,589346914631298
Avalanche,AVAX,4033926603.83,11.36,355055810
UNUS SED LEO,LEO,3693465267.63,3.9770,928703317
TrueUSD,TUSD,3356846793.84,1.0004,3355408449
Stellar,XLM,3222156803.82,0.1158,27828663177
Monero,XMR,3199610631.92,174.35,18351206
Cosmos,ATOM,2721673575.07,7.3169,371972394
OKB,OKB,2699261230.00,44.99,60000000
Uniswap,UNI,2443169842.41,4.1537,588187016
Ethereum Classic,ETC,2394941944.18,16.66,143757157
BUSD,BUSD,2059338076.37,1.0022,2054800183
Internet Computer,ICP,1803087641.53,4.0296,447464983
Hedera,HBAR,1760013806.83,0.05249,33530602294
Filecoin,FIL,1749090386.76,3.7913,461347036
Aptos,APT,1665401347.96,6.7365,247220096
Lido DAO,LDO,1625316384.29,1.8257,890219881
Cronos,CRO,1515300992.67,0.05998,25263013692
Maker,MKR,1393688062.87,1425.58,977631
VeChain,VET,1385837223.76,0.01906,72714516834
Quant,QNT,1270326892.86,105.22,12072738
NEAR Protocol,NEAR,1256537959.34,1.2702,989205460
Optimism,OP,1241862846.58,1.4105,880444572
Aave,AAVE,1235479656.93,84.63,14598485
Arbitrum,ARB,1207196029.77,0.9468,1275000000
Mantle,MNT,1178083608.19,0.3793,3105990005
Injective,INJ,1163270292.64,13.89,83755556
The Graph,GRT,983116731.65,0.106,9273609543
Bitcoin SV,BSV,982520906.71,51.00,19266077
Render,RNDR,949117223.73,2.5520,371908453
Stacks,STX,901240941.02,0.6367,1415498358
Algorand,ALGO,843297641.86,0.1064,7925375856
THORChain,RUNE,826057756.35,2.4349,339252320
Immutable,IMX,816192508.56,0.6752,1208896260
Axie Infinity,AXS,797595873.57,5.6410,141391485
MultiversX,EGLD,785861223.41,30.06,26141841
The Sandbox,SAND,739109414.78,0.3569,2071031926
Decentraland,MANA,717468760.33,0.379,1893095371
USDD,USDD,724982355.98,0.9995,725332087
Tezos,XTZ,713459622.60,0.7448,957977395
Fantom,FTM,695742887.76,0.2482,2803634836
EOS,EOS,695074642.36,0.6279,1106921027
Theta Network,THETA,684021983.82,0.684,1000000000
XDC Network,XDC,668547655.20,0.04819,13873564795
Bitget Token,BGB,648320649.58,0.4631,1400000000
Neo,NEO,643907670.22,9.1284,70538831
Synthetix,SNX,635250740.41,2.3242,273315286
Mina,MINA,610723069.42,0.615,993062717
Kava,KAVA,591332738.05,0.6678,885509699
Flow,FLOW,566603586.17,0.5468,1036200000
eCash,XEC,559235491.53,0.00002862,19538985923093
Gala,GALA,526736563.57,0.02083,25285764465
Conflux,CFX,523321813.80,0.1556,3363042878
ApeCoin,APE,515739304.81,1.3992,368593750
Chiliz,CHZ,503885591.13,0.06661,7565079839
Tether Gold,XAUt,494528358.89,2006.00,246524
PAX Gold,PAXG,488123749.31,1982.58,246207
Pax Dollar,USDP,482877097.56,0.9983,483721451
Pepe,PEPE,478029236.28,0.00000115,417062922847365
IOTA,IOTA,471723058.76,0.1583,2980714977
First Digital USD,FDUSD,469789894.70,1.0024,468686206
Rocket Pool,RPL,468058509.87,23.68,19768220
Zcash,ZEC,460451413.58,28.20,16328269
dYdX,DYDX,455632889.66,2.4794,183765523
Frax Share,FXS,455907187.50,6.0879,74887998
Trust Wallet Token,TWT,444661695.90,1.0672,416649900
KuCoin Token,KCS,445105087.23,4.6014,96732986
Curve DAO Token,CRV,441322884.31,0.4928,895555431
Klaytn,KLAY,430068105.87,0.1328,3238039314
GMX,GMX,417760853.71,45.64,9153410
BitTorrent(New),BTT,412763011.28,0.00000043,951421714286000
WOO Network,WOO,395023811.46,0.2251,1754861772
Sui,SUI,389735548.68,0.453,860392960
Huobi Token,HT,387599570.52,2.3891,162233844
Casper,CSPR,386334141.52,0.03382,11422431355
Terra Classic,LUNC,373847016.41,0.00006452,5794029827627
Compound,COMP,372772588.95,47.12,7911545
GateToken,GT,363803445.85,3.8331,94911020
Nexo,NEXO,352257954.04,0.629,560000011
Oasis Network,ROSE,343171062.28,0.05245,6542267493
Arweave,AR,342557196.91,5.2335,65454185
FLOKI,FLOKI,330738468.04,0.00003483,9496919129327
APENFT,NFT,334426677.55,0.00000034,990105682877398
Zilliqa,ZIL,330468968.73,0.01902,17372203179
Dash,DASH,329614893.99,28.62,11518011
Qtum,QTUM,315257994.94,3.0095,104755842
1inch Network,1INCH,308497341.99,0.2956,1043779237
Basic Attention Token,BAT,305214794.22,0.2048,1490115132
Fetch.ai,FET,296875088.48,0.3654,812400960
SafePal,SFP,298219351.79,0.7086,420833333
SingularityNET,AGIX,295147627.16,0.2381,1239747261
NEM,XEM,271994325.42,0.03022,8999999999
PancakeSwap,CAKE,285332887.24,1.2394,230210769
Flare,FLR,285000363.06,0.01065,26762961783
Astar,ASTR,276346878.90,0.05183,5332255596
MX TOKEN,MX,276438656.74,2.7470,100631536
Enjin Coin,ENJ,274897281.84,0.2749,1000000000
JUST,JST,277172430.47,0.03114,8902080000
Loopring,LRC,268997402.08,0.202,1331672349
Gnosis,GNO,267276458.43,103.21,2589588
Terra,LUNA,264758038.12,0.4693,564114225
Blur,BLUR,258710900.04,0.2494,1037271908
Bitcoin Gold,BTG,256990794.47,14.67,17513924
Mask Network,MASK,251141864.04,3.0585,82112500
Chia,XCH,250645240.91,28.20,8887244
aelf,ELF,250933414.64,0.3676,682635058
Tellor,TRB,248610294.85,100.26,2479543
Celo,CELO,246359190.69,0.4783,515094127
STEPN,GMT,245260031.39,0.1896,1293609479
Theta Fuel,TFUEL,244792231.53,0.03868,6329453453
Ravencoin,RVN,245421501.47,0.01869,13132011884
Convex Finance,CVX,239458291.39,2.9366,81541812
Ethereum Name Service,ENS,233659389.06,7.7748,30053239
Akash Network,AKT,233720160.59,1.0593,220636500
Polymesh,POLYX,217340661.54,0.2925,743118983
Holo,HOT,231517369.37,0.001344,172288595723
Ankr,ANKR,226922970.15,0.02269,10000000000
IoTeX,IOTX,220242328.61,0.02332,9443144580
0x Protocol,ZRX,220201446.90,0.2598,847496055
Helium,HNT,219639630.68,1.5260,143934821
Ocean Protocol,OCEAN,217790332.23,0.3832,568381103
Golem,GLM,214600254.58,0.2146,1000000000
Threshold,T,212824608.63,0.02285,9312266778
ICON,ICX,208207822.88,0.2145,970500229
Decred,DCR,204889454.47,13.13,15600693
Sei,SEI,200676706.22,0.1115,1800000000
Worldcoin,WLD,199953510.11,1.8008,111037141
Waves,WAVES,199998639.46,1.7718,112878082
Band Protocol,BAND,199768711.68,1.4752,135422147
WAX,WAXP,198014466.57,0.05876,3369623071
Aragon,ANT,195077392.64,4.8721,40039312
yearn.finance,YFI,194612384.78,5859.68,33212
Audius,AUDIO,190786645.21,0.1703,1119977190
JasmyCoin,JASMY,189166111.22,0.003853,49099999876
Livepeer,LPT,188677716.14,6.3948,29504937
Siacoin,SC,188496932.12,0.003399,55458582821
Kusama,KSM,186538171.79,22.02,8470098
Illuvium,ILV,183697334.06,50.22,3657561
Balancer,BAL,182931968.09,3.4427,53135834
Solar,SXP,181028675.84,0.3108,582511740
Ontology,ONT,180723460.26,0.2065,875249524
Bone ShibaSwap,BONE,177181508.40,0.7706,229923351
Hive,HIVE,172676636.61,0.3448,500749243
TomoChain,TOMO,169309591.82,1.7485,96830754
Harmony,ONE,162298707.63,0.01193,13599726174
Gemini Dollar,GUSD,161763038.59,0.993,162901126
Biconomy,BICO,160733294.41,0.241,666996892
Moonbeam,GLMR,159303890.86,0.2058,774100847
Storj,STORJ,157697982.07,0.4267,369601919
Liquity,LQTY,157887298.38,1.6765,94175273
EthereumPoW,ETHW,155480550.45,1.4421,107818999
IOST,IOST,154601490.27,0.008264,18708894189
Loom Network,LOOM,153989792.52,0.1263,1219425698
Merit Circle,MC,149822061.65,0.462,324318310
Osmosis,OSMO,149691225.17,0.3039,492590761
MAGIC,MAGIC,148834918.47,0.6224,239132055
SushiSwap,SUSHI,146966006.90,0.6352,231360052
ssv.network,SSV,145211101.13,14.52,10000000
Axelar,AXL,143634590.52,0.318,451727516
Centrifuge,CFG,141897018.70,0.3939,360263043
Stratis,STRAX,135898146.83,0.8783,154736181
tomiNet,TOMI,133634335.89,2.0443,65369656
Horizen,ZEN,129439009.18,9.0621,14283494
Orbs,ORBS,129686970.06,0.04094,3167720359
Nervos Network,CKB,129209812.85,0.003023,42736677850
Kadena,KDA,128598536.86,0.5123,251021870
Kyber Network Crystal v2,KNC,128743719.13,0.7549,170553950
BORA,BORA,128180692.37,0.129,993750000
Powerledger,POWR,122781213.09,0.2401,511332804
STP,STPT,122887889.78,0.06327,1942420283
SKALE,SKL,121365516.89,0.02437,4979352671
Galxe,GAL,120493485.85,1.3863,86918666
Lisk,LSK,121002005.26,0.9387,128900445
Flux,FLUX,119600715.10,0.3735,320193015
DigiByte,DGB,119217316.29,0.007182,16598843951
Rootstock Infrastructure Framework,RIF,118061057.95,0.1181,1000000000
Vulcan Forged PYR,PYR,115154776.94,4.2364,27182227
Cartesi,CTSI,114239661.66,0.1502,760808480
Coin98,C98,112882347.21,0.1816,621666654
Alchemy Pay,ACH,113234981.64,0.01639,6907151375
Ontology Gas,ONG,115188837.55,0.3209,358975868
UMA,UMA,112076000.19,1.5050,74469092
Status,SNT,112762806.56,0.02916,3867254211
Lido Staked ETH,stETH,15767907835.20,1792.41,8797060
Wrapped TRON,WTRX,8422121658.74,0.09483,88816407277
Wrapped Kava,WKAVA,4631786033.50,9.3070,497668960
Wrapped EOS,WEOS,1933026963.86,1.7463,1106921027
Bitcoin BEP2,BTCB,1861580415.19,34548.68,53883
UnlimitedIP,UIP,1764733150.28,1.0504,1679985525
Wrapped HBAR,WHBAR,1758045402.91,0.05243,33530602294
HEX,HEX,1460583984.71,0.008423,173411074413
Wrapped Beacon ETH,WBETH,1401362825.72,1830.63,765507
Kaspa,KAS,1115028557.51,0.05234,21303966253
Trexcoin,TREX,1090956732.29,1.0835,1006849553
Frax,FRAX,671752062.29,1.0000,671723781
Bitcoin Classic,BXC,602725345.58,1004.30,600147
TNC Coin,TNC,599264396.43,0.1024,5851183164
Rollbit Coin,RLB,576028989.80,0.1747,3296951621
Wrapped BNB,WBNB,549137045.70,227.13,2417769
Cheelee,CHEEL,499753950.56,9.2826,53837569
Radix,XRD,440971032.52,0.04299,10258653992
FTX Token,FTT,419345502.38,1.2750,328895104
WEMIX,WEMIX,350490030.87,1.0878,322198730
Huobi BTC,HBTC,311862031.38,34769.18,8969
USDJ,USDJ,309257920.51,1.1308,273491855
BitTorrent,BTTOLD,291039278.74,0.000294,990000000000
Polymath,POLY,261471578.39,0.2827,924998413
Orbler,ORBR,272087029.98,0.2679,1015586750
