name,symbol,marketcap,price,supply
Bitcoin,BTC,503258420290.44,25832.23,19481806
Ethereum,ETH,194376093211.00,1616.83,120220572
Tether USDt,USDT,82984094190.47,0.9996,83016246102
BNB,BNB,32664965032.69,212.32,153849232
XRP,XRP,26425477982.39,0.4978,53083046512
USD Coin,USDC,26152124245.57,0.9999,26153516264
Cardano,ADA,8739695392.60,0.2491,35091826138
Dogecoin,DOGE,8644327826.46,0.06133,140955046384
Solana,SOL,7493159267.21,18.25,410610360
TRON,TRX,6990176522.23,0.07833,89242682008
Toncoin,TON,5902531387.14,1.7199,3431892088
Dai,DAI,5344473010.68,0.9994,5347888596
Polkadot,DOT,5075635244.01,4.1520,1222469984
Polygon,MATIC,4878437132.97,0.5235,9319469069
Litecoin,LTC,4500967779.64,61.12,73639645
Shiba Inu,SHIB,4342794983.54,0.00000737,589346914631298
Wrapped Bitcoin,WBTC,4213807216.70,25855.58,162975
Bitcoin Cash,BCH,3716427782.56,190.58,19500581
Stellar,XLM,3677578378.28,0.1337,27501375470
UNUS SED LEO,LEO,3571191781.11,3.8426,929362505
Avalanche,AVAX,3351623623.35,9.4741,353765361
Chainlink,LINK,3238131718.47,6.0177,538099970
TrueUSD,TUSD,3182869078.18,0.9983,3188239477
Monero,XMR,2619264617.28,142.89,18330066
Binance USD,BUSD,2583232859.82,0.9999,2583616988
OKB,OKB,2512690975.13,41.88,60000000
Uniswap,UNI,2437796154.17,4.2213,577501031
Cosmos,ATOM,2423314052.15,6.6610,363803714
Ethereum Classic,ETC,2157008813.33,15.09,142934889
Hedera,HBAR,1589334096.73,0.04786,33207534181
Filecoin,FIL,1389822760.82,3.1118,446636036
Internet Computer,ICP,1374448594.50,3.0975,443726965
Mantle,MNT,1329022411.39,0.4109,3234382071
Cronos,CRO,1316932113.34,0.05213,25263013692
Lido DAO,LDO,1315981006.78,1.4812,888429119
Aptos,APT,1190432222.12,5.1772,229938542
Quant,QNT,1180695382.47,97.80,12072738
VeChain,VET,1107587725.55,0.01523,72714516834
Maker,MKR,1091338795.58,1116.31,977631
NEAR Protocol,NEAR,1083482867.16,1.1506,941671517
Arbitrum,ARB,1076257092.98,0.8441,1275000000
Optimism,OP,1013297803.52,1.2690,798517235
Aave,AAVE,785609097.38,54.05,14534985
The Graph,GRT,765369415.52,0.08339,9178545186
XDC Network,XDC,753398124.14,0.05435,13862350059
USDD,USDD,722974056.18,0.9967,725332035
Algorand,ALGO,719747741.07,0.09194,7828473423
Tezos,XTZ,644281077.07,0.6767,952153059
Stacks,STX,633349184.84,0.4506,1405484666
EOS,EOS,620905291.69,0.5633,1102268295
Axie Infinity,AXS,618654557.66,4.3924,140847526
MultiversX,EGLD,611850293.86,23.58,25943851
The Sandbox,SAND,610128019.17,0.2955,2064931926
Theta Network,THETA,606415879.37,0.6064,1000000000
Immutable,IMX,599114825.33,0.5143,1164893573
Synthetix,SNX,577850686.19,2.1412,269871212
Bitcoin SV,BSV,573324994.83,29.76,19266077
Injective,INJ,556403779.65,6.6432,83755556
Render,RNDR,550090240.28,1.4791,371908453
Fantom,FTM,541380212.95,0.1931,2803634836
Decentraland,MANA,533760030.66,0.282,1893095371
THORChain,RUNE,521642822.76,1.5409,338532647
Pax Dollar,USDP,516310409.64,0.9922,520370074
Neo,NEO,502042840.72,7.1173,70538831
Kava,KAVA,487871572.96,0.6447,756791634
IOTA,MIOTA,476620780.97,0.1715,2779530283
Tether Gold,XAUt,473111844.68,1919.13,246524
PAX Gold,PAXG,472713981.81,1897.42,249135
ApeCoin,APE,452152678.20,1.2267,368593750
Rocket Pool,RPL,452175824.19,22.96,19694370
eCash,XEC,445459602.09,0.00002285,19494685923093
Flow,FLOW,432530495.25,0.4174,1036200000
Chiliz,CHZ,424593287.68,0.05736,7401879905
Klaytn,KLAY,418531913.65,0.1313,3187822668
Zcash,ZEC,404866236.95,24.80,16328269
KuCoin Token,KCS,397511142.87,4.1094,96732986
Conflux,CFX,396220201.09,0.1215,3261457387
