name,symbol,marketcap,price,supply
Bitcoin,BTC,402234665331.33,20880.80,19263375
Ethereum,ETH,189982916189.84,1552.48,122373866
Tether,USDT,66380183923.94,1.0004,66355384993
BNB,BNB,48319824358.93,302.07,159962003
USD Coin,USDC,43893297850.25,0.9999,43896537187
XRP,XRP,19518617705.85,0.3849,50713323547
Binance USD,BUSD,16358943680.27,1.0000,16358554490
Cardano,ADA,12105718917.40,0.3504,34551445331
Dogecoin,DOGE,11427062081.16,0.08613,132670764300
Polygon,MATIC,8590354227.14,0.9835,8734317475
Solana,SOL,8477324165.42,22.87,370620851
Polkadot,DOT,6851946672.19,5.9281,1155842395
Litecoin,LTC,6295698138.03,87.37,72061579
Shiba Inu,SHIB,5861793552.68,0.00001068,549063278876302
Dai,DAI,5835390960.16,0.9997,5837196432
TRON,TRX,5729509401.35,0.06236,91883939785
Avalanche,AVAX,5233681678.03,16.80,311582143
Uniswap,UNI,5021973827.58,6.5887,762209327
Wrapped Bitcoin,WBTC,3827767735.51,20854.37,183548
Cosmos,ATOM,3663672841.64,12.79,286370297
Chainlink,LINK,3400529735.93,6.6940,507999970
UNUS SED LEO,LEO,3315755537.93,3.4758,953954130
Monero,XMR,3171785290.23,174.01,18227445
Ethereum Classic,ETC,3120474422.17,22.46,138945365
Toncoin,TON,2824621654.73,2.3126,1221401181
Bitcoin Cash,BCH,2408840588.42,124.91,19284744
Stellar,XLM,2307522034.29,0.08806,26203121741
NEAR Protocol,NEAR,1905973154.10,2.2391,851236842
OKB,OKB,1878971600.48,31.32,60000000
Cronos,CRO,1873911844.70,0.07418,25263013692
ApeCoin,APE,1856251338.91,5.1384,361250000
Lido DAO,LDO,1830284793.18,2.2213,823970809
Algorand,ALGO,1729604635.05,0.2403,7196637736
Filecoin,FIL,1689709174.15,4.6962,359805544
Quant,QNT,1586490423.03,131.41,12072738
VeChain,VET,1531101693.51,0.02112,72511146418
Internet Computer,ICP,1461768725.51,5.1495,283866883
Hedera,HBAR,1316248831.24,0.05223,25202314735
Decentraland,MANA,1302115229.27,0.7019,1855084192
Flow,FLOW,1128202520.23,1.0888,1036200000
EOS,EOS,1147195514.54,1.0623,1079929466
Aave,AAVE,1114026281.17,79.05,14093193
BitDAO,BIT,1114243052.73,0.5329,2090946169
Terra Classic,LUNC,1082553318.39,0.0001806,5994551076831
The Sandbox,SAND,1087467306.41,0.7252,1499470108
Aptos,APT,1030018126.79,7.9232,130000000
MultiversX (Elrond),EGLD,979288360.06,40.86,23967163
Tezos,XTZ,948638515.29,1.0272,923484648
Axie Infinity,AXS,936611468.03,9.3221,100472446
Chiliz,CHZ,932558148.06,0.1403,6649111577
Theta Network,THETA,927356332.69,0.9274,1000000000
Fantom,FTM,902505325.07,0.326,2768751627
Pax Dollar,USDP,879484110.53,1.0016,878084065
Bitcoin SV,BSV,868452183.40,45.08,19266077
TrueUSD,TUSD,849977710.69,1.0002,849802781
Huobi Token,HT,833609333.42,5.1383,162233844
KuCoin Token,KCS,782716347.13,7.9561,98379861
The Graph,GRT,742515170.83,0.08502,8733605274
Zcash,ZEC,722457575.11,44.74,16146388
USDD,USDD,707544891.21,0.9755,725332036
BitTorrent-New,BTT,690850682.48,0.00000073,951421714286000
Maker,MKR,684517219.39,700.18,977631
Trust Wallet Token,TWT,648599983.68,1.5567,416649900
PancakeSwap,CAKE,625339697.11,3.7306,167623386
Frax Share,FXS,616186060.88,8.4483,72936372
Gemini Dollar,GUSD,611030693.69,1.0066,607049883
