name,symbol,marketcap,price,supply
Bitcoin,BTC,7761284408.63,593.85,13069400
Litecoin,LTC,237272312.58,7.7535,30601804
XRP,XRP,49685439.28,0.006021,8252600832
Nxt,NXT,44920438.05,0.04492,999997120
Dash,DASH,26301201.11,5.8342,4508122
Peercoin,PPC,25102487.34,1.1627,21589386
Dogecoin,DOGE,19176791.69,0.0002169,88400330752
BitShares,BTS,16397275.00,0.0082,1999775104
Namecoin,NMC,14967430.02,1.5845,9446450
MaidSafeCoin,MAID,12768686.52,0.02821,452552416
BlackCoin,BLK,7650830.62,0.1025,74635480
Monero,XMR,6098661.28,2.5514,2390274
BitShares PTS,PTS,6090833.02,3.6815,1654454
Counterparty,XCP,5712674.53,2.1566,2648957
ReddCoin,RDD,5421819.03,0.0002019,26853961728
CloakCoin,CLOAK,4246356.01,0.9397,4518632
XCurrency,XC,4214568.19,0.7635,5520165
Omni,OMNI,3939994.84,6.9962,563162
Quark,QRK,3111988.29,0.01255,248060928
VeriCoin,VRC,2711558.11,0.1012,26800860
Zetacoin,ZET,2619786.12,0.01631,160594208
Neutrino,NTR,2107440.74,0.01002,210384752
Primecoin,XPM,2045481.10,0.3115,6566610
Feathercoin,FTC,1516793.54,0.03004,50490208
YbCoin,YBC,1414005.70,0.7937,1781580
Qora,QORA,1360132.30,0.000136,10000000000
Megacoin,MEC,1355686.21,0.05528,24522900
Viacoin,VIA,1337254.72,0.1308,10224202
