name,symbol,marketcap,price,supply
Bitcoin,BTC,7903421902.06,631.11,12523050
Litecoin,LTC,461985553.53,17.35,26629704
XRP,XRP,111843703.13,0.01431,7817889792
Auroracoin,AUR,103942110.93,9.7857,10621801
SpainCoin,SPA,76266010.44,3.0168,25280120
Peercoin,PPC,68199140.41,3.2122,21231182
Dogecoin,DOGE,50285326.11,0.0008263,60853096448
Omni,OMNI,42309167.73,68.30,619478
Nxt,NXT,32350122.89,0.03235,999997120
Namecoin,NMC,27649403.54,3.3413,8275043
Counterparty,XCP,14341291.42,5.4146,2648646
BitShares PTS,PTS,10257146.83,6.5601,1563564
Marinecoin,MTC,8181806.31,1.1297,7242624
Quark,QRK,7619066.59,0.03076,247667776
Feathercoin,FTC,7388679.07,0.2019,36595400
Primecoin,XPM,6198526.17,1.2846,4825354
Infinitecoin,IFC,5175872.59,0.00005727,90371072000
Novacoin,NVC,4887584.39,6.6302,737165
Megacoin,MEC,3848273.40,0.1703,22602374
WorldCoin,WDC,3139477.05,0.06458,48614624
YbCoin,YBC,2910353.30,2.4284,1198487
Dash,DASH,2874707.51,0.7756,3706206
Vertcoin,VTC,2165206.41,0.8222,2633500
MintCoin,MINT,1830445.97,0.00009809,18661031936
Devcoin,DVC,1506340.58,0.0002319,6495920128
UltraCoin,UTC,1449983.25,0.1789,8104550
Tickets,TIX,1266870.79,0.00001894,66876280832
