name,symbol,marketcap,price,supply
Bitcoin,BTC,3616325669.88,264.20,13688075
XRP,XRP,586350663.43,0.01893,30978075200
Litecoin,LTC,69101167.20,1.9567,35315454
PayCoin,XPY,53186750.90,4.3143,12327935
BitShares,BTS,34255564.35,0.01371,2497973773
MaidSafeCoin,MAID,18266242.67,0.04036,452552412
Nxt,NXT,16068879.42,0.01607,999997096
Stellar,XLM,15717689.11,0.004416,3559062575
Dogecoin,DOGE,15405093.44,0.0001583,97289978241
Peercoin,PPC,10115663.80,0.4601,21987680
Counterparty,XCP,9247939.62,3.4943,2646575
Dash,DASH,8152158.19,1.6278,5008126
Namecoin,NMC,6074428.43,0.5717,10624800
FuelCoin,FC2,4138257.29,0.04131,100175116
NuShares,NSR,3525777.41,0.005812,606606633
SuperNET,UNITY,3502327.81,4.2917,816061
YbCoin,YBC,2676393.45,0.8921,3000000
Banx,BANX,2460388.69,0.9511,2586882
Monero,XMR,2316421.62,0.4172,5551851
NuBits,USNBT,2245804.53,1.0001,2245634
BlackCoin,BLK,1772414.21,0.02371,74747745
Storjcoin X,SJCX,1425931.30,0.03439,41464404
Bytecoin,BCN,1324177.74,0.00000789,167809852026
BitcoinDark,BTCD,1290933.34,1.0775,1198130
Omni,OMNI,1211259.57,2.1508,563162
Quark,QRK,1073677.29,0.00432,248539607
DNotes,NOTE,955910.64,0.01006,95064676
Feathercoin,FTC,876261.64,0.01311,66830080
bitUSD,BITUSD,849582.59,1.0016,848257
ReddCoin,RDD,783703.51,0.00002868,27323765390
Ethercoin,ETC,726533.59,0.7265,1000000
Primecoin,XPM,619921.05,0.07304,8487618
Marinecoin,MTC,578694.30,0.07926,7301353
Nxttycoin,NXTTY,546824.71,0.0005468,1000000000
Clams,CLAM,543273.47,1.3217,411043
Jinn,JINN,482067.01,4.8207,100000
WorldCoin,WDC,468650.08,0.006598,71032290
Novacoin,NVC,466186.70,0.5076,918493
Viacoin,VIA,451063.22,0.03463,13026195
Ixcoin,IXC,449021.60,0.02138,20999906
BitShares PTS,PTS,422882.27,0.0004229,999999386
TileCoin,XTC,421655.22,0.004217,100000000
Megacoin,MEC,418346.15,0.01558,26846650
I0Coin,I0C,405509.66,0.01979,20487149
Uro,URO,402333.92,0.396,1016117
Unobtanium,UNO,379033.41,1.9635,193043
MonaCoin,MONA,377575.12,0.02423,15582300
DigitalNote,XDN,365509.14,0.00005384,6789302592
Infinitecoin,IFC,350207.47,0.00000387,90596106595
BilShares,BILS,322886.57,0.0003229,1000000000
ShadowCash,SDC,318760.36,0.04939,6453572
NooCoin,NOO,318251.07,0.01273,25002214
XCurrency,XC,294603.29,0.05289,5570534
Zetacoin,ZET,294362.69,0.001823,161504139
Gridcoin Classic,GRCX,290252.62,0.008703,33352465
Anoncoin,ANC,270542.84,0.185,1462764
Qora,QORA,264195.01,0.00002642,10000000000
VeriCoin,VRC,261562.67,0.009707,26946409
UltraCoin,UTC,254347.96,0.01044,24364245
Syscoin,SYS,237098.65,0.0006029,393244359
Gulden,NLG,218706.17,0.001135,192646601
Applecoin,APC,201478.14,0.009041,22285375
Maxcoin,MAX,196394.23,0.005104,38480283
CannabisCoin,CANN,193676.38,0.002663,72736897
Hyper,HYPER,189513.72,0.05152,3678402
CzechCrownCoin,CZC,174126.49,0.0425,4096640
BitBay,BAY,170011.85,0.00017,1000153933
Opal,OPAL,159619.16,0.01063,15022421
Vertcoin,VTC,158981.16,0.01527,10412400
ARCHcoin,ARCH,158546.21,0.009754,16254709
Digitalcoin,DGC,156313.23,0.008342,18738868
PotCoin,POT,155671.22,0.0008832,176253690
Viorcoin,VIOR,145951.62,0.03156,4624468
Startcoin,START,139955.37,0.01571,8907320
Diamond,DMD,129162.69,0.1643,786113
ZcCoin,ZCC,128883.58,0.007427,17352849
DigiByte,DGB,127346.14,0.00004465,2852092031
BoostCoin,BOST,119274.35,0.01017,11726990
bitCNY,BITCNY,117947.34,0.1614,730804
Librexcoin,LXC,110961.71,0.01138,9752897
BlueCoin,BLU,108720.35,0.0001932,562772447
NEMstake,NEM,96937.23,671.31,144
Boolberry,BBR,94875.68,0.03555,2668768
SpreadCoin,SPR,92880.84,0.06238,1488912
NobleNXT,NOXT,90379.03,0.1189,760216
NobleCoin,NOBL,81729.26,0.00003198,2555905000
Mooncoin,MOON,77437.28,0.00000039,197414317961
Copperlark,CLR,49187.43,0.004888,10063199
Rubycoin,RBY,45019.17,0.00205,21962866
Auroracoin,AUR,42708.41,0.01928,2215278
Einsteinium,EMC2,41310.20,0.000258,160119945
Quicksilver,QSLV,37852.03,0.01096,3452363
Sapience AIFX,XAI,37076.28,0.03289,1127113
SquareBit,SBIT,36810.11,0.03435,1071764
Bytecent,BYC,36808.62,0.1192,308846
Boomcoin,BOOM,36076.65,0.00317,11379426
CheckOutCoin,CXC,34431.20,0.006869,5012497
SecureCoin,SRC,34196.60,0.01507,2268625
Checkcoin,CKC,34001.01,0.002214,15360240
Dimecoin,DIME,29309.13,0.0000001,299580260352
NXTInspect,NXTI,29055.74,0.04141,701626
GamerholicCoin,GHC,23983.85,0.0317,756507
CloakCoin,CLOAK,22602.48,0.004972,4545509
Nakamoto Dark,NKT,20614.34,0.0003963,52018000
Vidio,VDO,19704.49,0.000938,21006149
Quatloo,QTL,18915.30,0.006733,2809523
Blitzcash,BLITZ,17374.81,0.004703,3694668
GameCredits,GAME,11053.72,0.0002626,42086475
EventToken,EVENT,10218.29,0.00131,7797800
Aliencoin,ALN,6988.13,0.0002826,24726090
Diode,DIO,2252.64,0.000531,4242005
MugatuCoin,MUGA,1442.38,0.000716,2014591
42-coin,42,1362.04,1483.92,1
Swarm,SWARM,1695206.38,0.01696,99945431
NXTventure,NXTV,1249517.68,1.2495,1000000
Pangea Poker,PANGEA,1091871.48,1.0925,999402
InstantDEX,DEX,996448.58,0.9964,1000000
CoinoUSD,XUSD,927829.92,0.8036,1154584
jl777hodl,JLH,590005.48,0.059,10000000
NXTprivacy,NXTprivacy,522239.27,0.5222,1000000
Tradebots,NXTcoinsco,477294.53,0.4821,990100
Pandacoin,PND,427321.52,0.0000132,32369197178
SkyNET,SKYNET,362677.99,0.4056,894223
Coinomat,CNMT,284837.19,0.09495,3000000
Privatebet,Privatebet,282748.37,0.7069,400000
FairCoin,FAIR,243489.61,0.004756,51201576
FreeMarket,MRKT,231392.15,0.3214,720000
Burst,BURST,194685.35,0.0004095,475419500
SolarCoin,SLR,192135.73,0.005717,33605164
Curecoin,CURE,190279.96,0.007567,25146767
Emercoin,EMC,175239.49,0.005152,34015179
CryptoCoins,CCS,167858.27,97.07,1729
MintCoin,MINT,162087.65,0.00000792,20453220627
Bitswift,BITS,158502.77,0.03953,4009779
ATOMIC,ATOMIC,156832.46,0.2571,610000
Node,NODE,150591.15,0.0001506,1000000000
