name,symbol,marketcap,price,supply
Bitcoin,BTC,7001713695.73,451.88,15494800
Ethereum,ETH,704335908.14,8.8465,79617445
XRP,XRP,236803765.15,0.006791,34868679462
Litecoin,LTC,168960222.47,3.7052,45600826
Dash,DASH,43576666.47,6.7945,6413491
MaidSafeCoin,MAID,26282043.52,0.05808,452552412
Dogecoin,DOGE,23547329.92,0.0002261,104144897082
NEM,XEM,14453072.80,0.001606,8999999999
Monero,XMR,10748812.43,0.9143,11756414
Factom,FCT,10484937.89,1.1978,8753219
BitShares,BTS,10367705.79,0.004058,2554610000
Stellar,XLM,10326951.58,0.001883,5485679598
Peercoin,PPC,9929501.69,0.4293,23127575
HyperSpace,AMP,8431461.67,0.04562,184800000
Steem,STEEM,7814072.10,0.466,16769100
YbCoin,YBC,7690800.20,2.5576,3007018
Emercoin,EMC,7280419.57,0.1935,37630463
FedoraCoin,TIPS,6947763.42,0.00001651,420855444951
Nxt,NXT,6944125.84,0.006944,999997096
Namecoin,NMC,6051260.25,0.4262,14198500
Feathercoin,FTC,5179253.69,0.0349,148407000
Agoras Tokens,AGRS,5156611.79,0.1228,42000000
RevolutionVR,RVR,4668565.37,0.1482,31500000
Syscoin,SYS,3844883.73,0.008968,428751485
VPNCoin,VASH,3640518.46,0.009094,400339746
Xaurum,XAUR,3493585.26,469.75,7437
Counterparty,XCP,3332859.07,1.2685,2627417
Storjcoin X,SJCX,2946823.59,0.05951,49518143
Scotcoin,SCOT,2561788.07,0.002562,1000000000
Decred,DCR,2358692.75,1.5396,1532001
CrevaCoin,CREVA,2325992.71,0.1018,22853550
BlackCoin,BLK,2213084.14,0.02935,75415074
MonaCoin,MONA,2015403.27,0.06209,32461650
Tether,USDT,1951591.00,1.0000,1951591
GameCredits,GAME,1866042.85,0.0341,54715952
Auroracoin,AUR,1840113.06,0.229,8036022
DigiByte,DGB,1789638.11,0.0002802,6386867010
SolarCoin,SLR,1646581.10,0.04802,34290690
BitcoinDark,BTCD,1521603.84,1.2036,1264200
Safex Token,SFT,1416775.50,0.0006597,2147483647
Clams,CLAM,1415801.63,0.8306,1704523
SuperNET,UNITY,1314689.59,1.6110,816061
Startcoin,START,1282972.13,0.03208,39997474
ReddCoin,RDD,1268351.92,0.00004516,28084901285
Primecoin,XPM,1234274.02,0.08599,14353606
EarthCoin,EAC,1195517.47,0.0001279,9346468332
Siacoin,SC,1147507.69,0.00008582,13371132684
StabilityShares,XSI,1128925.69,0.122,9251928
Novacoin,NVC,1106643.28,0.8099,1366416
VeriCoin,VRC,1091615.42,0.03964,27540449
Vertcoin,VTC,1059546.25,0.04591,23076650
PLAY,PLS,1053375.13,0.0005407,1948228476
Quark,QRK,1028928.03,0.004115,250035829
Vcash,XVC,1016158.50,0.07112,14287848
I/O Coin,IOC,861204.27,0.053,16250340
Radium,RADS,840004.42,0.3069,2737233
OBITS,OBITS,800648.44,0.1187,6744656
Infinitecoin,IFC,783356.08,0.00000865,90596274910
NuBits,USNBT,751747.43,0.993,757084
WorldCoin,WDC,730622.08,0.007151,102166316
Yocoin,YOC,703844.73,0.04032,17458400
Expanse,EXP,667990.30,0.3233,2066139
GetGems,GEMZ,643271.77,0.007299,88135217
Qora,QORA,631407.60,0.00006314,10000000000
Megacoin,MEC,616855.39,0.01906,32359775
Gulden,NLG,614543.90,0.002031,302588749
DigitalNote,XDN,606672.18,0.00008845,6859281452
BoostCoin,BOST,602623.91,0.05096,11824462
Curecoin,CURE,575317.57,0.02177,26431310
NeuCoin,NEU,568609.13,0.001852,307040905
Verge,XVG,567336.80,0.00005105,11114425000
Creditbit,CRB,541135.30,0.04392,12322025
Diamond,DMD,533238.46,0.3336,1598457
ZcCoin,ZCC,530904.12,0.008611,61657044
BilShares,BILS,525085.43,0.0005251,1000000000
Digitalcoin,DGC,505983.54,0.0155,32640703
Global Currency Reserve,GCR,505862.11,0.005018,100805531
SIBCoin,SIB,487612.15,0.04903,9945374
UnionCoin,UNC,440473.56,0.05251,8388608
CloakCoin,CLOAK,431004.41,0.0908,4746974
Anoncoin,ANC,387412.65,0.1836,2110317
Circuits of Value,COVAL,332438.69,0.0008311,400000000
Burst,BURST,306692.41,0.0002163,1418093632
Diem,DIEM,294624.85,0.00001355,21739971929
Riecoin,RIC,279869.12,0.01222,22894775
TagCoin,TAG,250823.45,0.05714,4389503
Cryptonite,XCN,247512.26,0.001205,205328613
SecureCoin,SRC,240502.72,0.04247,5662866
Capricoin,CPC,233621.54,0.4621,505574
Donu,DONU,225532.11,0.02652,8505375
Wild Beast Block,WBB,215458.48,0.1401,1537345
MojoCoin,MOJO,198278.25,0.001982,100052084
Bitswift,BITS,173802.74,0.04294,4047852
Ubiq,UBQ,162506.62,0.04567,3558657
Rubies,RBIES,149565.55,0.02356,6348762
NautilusCoin,NAUT,142137.40,0.02096,6779874
Boolberry,BBR,128497.86,0.01825,7042802
Coinomat,CNMT,118252.08,0.03942,3000000
HyperStake,HYP,118135.00,0.0003062,385796097
Blitzcash,BLITZ,114681.86,0.02891,3967172
NXTventure,NXTV,113884.06,0.1139,1000000
bitUSD,BITUSD,108358.35,1.0028,108055
Execoin,EXE,108226.09,0.006053,17881067
HOdlcoin,HODL,92187.22,0.03406,2706412
TrumpCoin,TRUMP,84871.78,0.01305,6501942
GameBet Coin,GBT,84817.94,0.004225,20075101
microCoin,MRC,83056.04,0.00000452,18388124350
DubaiCoin,DBIC,78246.68,0.01357,5764494
Adzcoin,ADZ,75372.10,0.03855,1955240
PIVX,PIVX,59845.51,0.00196,30538251
Shift,SHIFT,58183.11,0.008408,6919991
Sprouts,SPRTS,51486.74,0.00003156,1631532276
MonetaryUnit,MUE,35946.01,0.0004037,89034480
Asiadigicoin,ADCN,31781.51,0.1846,172200
Memetic / PepeCoin,MEME,31305.89,0.002623,11937330
SmartCoin,SMC,28884.90,0.00136,21245678
EverGreenCoin,EGC,27822.56,0.003118,8923730
DigiCube,CUBE,27690.75,0.001328,20856165
MetalCoin,METAL,26620.30,0.000346,76925527
bitBTC,BITBTC,24704.05,488.25,51
BERNcash,BERN,24380.60,0.00113,21581719
BiosCrypto,BIOS,24233.31,0.001203,20151196
RhinoCoin,RHC,17920.14,0.1081,165741
Orlycoin,ORLY,17159.92,0.0005874,29211481
DarkTron,DRKT,10231.08,0.01172,872872
KhanCoin,KNC,10145.31,0.1436,70631
Phalanx,PXL,3260.25,0.001807,1804501
Bytecoin,BCN,6559997.14,0.00003644,180016931734
GridCoin,GRC,2968258.48,0.0079,375711311
Rubycoin,RBY,2941143.04,0.1279,22987034
Rimbit,RBT,2023568.25,0.01774,114094224
NuShares,NSR,2002123.61,0.002439,820849209
BitCrystals,BCY,1947077.34,0.04589,42428066
MintCoin,MINT,1547610.17,0.00006738,22967816999
SounDAC,XSD,1384162.82,0.001015,1364277345
Omni,OMNI,952942.09,1.7253,552319
ShadowCash,SDC,894620.36,0.137,6531028
AmberCoin,AMBER,726720.97,0.01675,43385105
FairCoin,FAIR,719192.30,0.01371,52462934
DNotes,NOTE,679076.13,0.006124,110895736
FuelCoin,FC2,583871.56,0.005827,100206032
Zetacoin,ZET,544829.98,0.003321,164046391
InstantDEX,DEX,513867.08,0.5139,1000000
