name,symbol,marketcap,price,supply
Bitcoin,BTC,8983559297.69,574.98,15624200
Ethereum,ETH,1128278858.37,13.98,80735361
Litecoin,LTC,221840232.96,4.8129,46092776
XRP,XRP,202093147.11,0.005796,34868679462
The DAO,DAO,153418084.56,0.1308,1172775159
Dash,DASH,49244454.31,7.5812,6495605
Lisk,LSK,48962807.66,0.4896,100000000
MaidSafeCoin,MAID,27692389.23,0.06119,452552412
Dogecoin,DOGE,24756873.78,0.0002366,104630952757
DigixDAO,DGD,19862173.08,9.9311,2000000
NEM,XEM,18024922.35,0.002003,8999999999
Steem,STEEM,17589446.67,0.3698,47569770
FedoraCoin,TIPS,12408566.16,0.00002921,424782012788
Monero,XMR,12105427.53,1.0029,12070100
BitShares,BTS,9090014.51,0.00355,2560770000
Peercoin,PPC,8418956.94,0.3626,23216651
Factom,FCT,8352313.48,0.9542,8753219
Stellar,XLM,8218857.19,0.001498,5485679598
Nxt,NXT,7202925.66,0.007203,999997096
Bytecoin,BCN,6931031.61,0.00003841,180425252450
HyperSpace,AMP,6712863.48,0.03633,184800000
Siacoin,SC,6247929.55,0.0004243,14724804515
YbCoin,YBC,6159831.37,2.0468,3009448
Emercoin,EMC,5628568.24,0.1487,37857050
Namecoin,NMC,5197447.29,0.3593,14464500
Storjcoin X,SJCX,4755373.22,0.09603,49518143
Rubycoin,RBY,4721767.58,0.2043,23111206
Counterparty,XCP,4415230.29,1.6808,2626802
SolarCoin,SLR,4073008.62,0.1156,35228858
Agoras Tokens,AGRS,4024629.10,0.09582,42000000
Xaurum,XAUR,3814973.87,509.58,7487
RevolutionVR,RVR,3102542.95,0.09849,31500000
Decred,DCR,2978952.42,1.6352,1821738
Tether,USDT,2951591.00,1.0000,2951591
Syscoin,SYS,2907375.68,0.006781,428751485
VPNCoin,VASH,2814091.43,0.007029,400339746
BlackCoin,BLK,2136676.24,0.02831,75468118
GameCredits,GAME,2135809.46,0.03853,55427902
GridCoin,GRC,2132032.03,0.005656,376951882
DigiByte,DGB,1858196.63,0.0002818,6593283630
MonaCoin,MONA,1754586.31,0.05151,34063950
Feathercoin,FTC,1584236.18,0.01277,124030840
Vcash,XVC,1565947.11,0.1096,14287848
CrevaCoin,CREVA,1489921.76,0.05876,25358100
Auroracoin,AUR,1459040.51,0.1786,8167659
MintCoin,MINT,1420500.42,0.00006155,23077840377
Clams,CLAM,1273597.26,0.7252,1756232
EarthCoin,EAC,1261463.89,0.000135,9346468332
SuperNET,UNITY,1189022.58,1.4570,816061
Scotcoin,SCOT,1178829.93,0.001179,1000000000
ShadowCash,SDC,1122653.82,0.1716,6542548
Primecoin,XPM,1078222.66,0.07298,14773577
Novacoin,NVC,1029428.95,0.737,1396859
ReddCoin,RDD,970264.30,0.00003451,28117601207
VeriCoin,VRC,954314.23,0.03457,27607288
I/O Coin,IOC,908470.69,0.05588,16257644
Omni,OMNI,797160.62,1.4419,552853
PLAY,PLS,762939.22,0.0003916,1948228469
Circuits of Value,COVAL,759051.46,0.001898,400000000
Vertcoin,VTC,748489.08,0.03243,23076650
Infinitecoin,IFC,743261.78,0.0000082,90596274910
NuBits,USNBT,731786.11,0.9666,757084
Startcoin,START,730673.88,0.01642,44499500
StabilityShares,XSI,704886.49,0.07619,9251928
BoostCoin,BOST,704505.51,0.05943,11855036
WorldCoin,WDC,677521.82,0.006531,103742733
Radium,RADS,648941.79,0.233,2785428
OBITS,OBITS,645281.31,0.09581,6735225
Megacoin,MEC,633499.64,0.01943,32609963
Gulden,NLG,625146.41,0.002042,306114030
BilShares,BILS,609504.47,0.0006095,1000000000
Expanse,EXP,597406.32,0.2891,2066139
DigitalNote,XDN,593675.77,0.00008652,6861334178
Qora,QORA,576308.92,0.00005763,10000000000
Safex Token,SFT,531001.37,0.0002473,2147483647
ZcCoin,ZCC,517009.86,0.008385,61657044
Wild Beast Block,WBB,487101.62,0.299,1629335
Diamond,DMD,443855.58,0.2715,1634938
UnionCoin,UNC,434596.00,0.05181,8388608
Zetacoin,ZET,434469.23,0.002648,164046391
Unobtanium,UNO,417893.32,2.1199,197127
Applecoin,APC,407503.39,0.01829,22286048
Diem,DIEM,374897.00,0.00001724,21739971929
Anoncoin,ANC,371564.95,0.1761,2110317
Coinomat,CNMT,358511.02,0.137,2616401
DubaiCoin,DBIC,345164.78,0.05881,5868768
SIBCoin,SIB,297284.42,0.02856,10410374
Yocoin,YOC,288988.10,0.01586,18225050
Burst,BURST,287039.28,0.0002007,1430057901
