name,symbol,marketcap,price,supply
Bitcoin,BTC,9713776074.59,610.89,15900972
Ethereum,ETH,1116323951.45,13.20,84571855
XRP,XRP,289655709.25,0.008165,35475196836
Litecoin,LTC,183737855.30,3.8423,47819604
Monero,XMR,108225552.56,8.3042,13032591
Ethereum Classic,ETC,100870077.65,1.1936,84506881
Dash,DASH,79826346.61,11.78,6778019
Steem,STEEM,71450170.29,0.444,160936509
MaidSafeCoin,MAID,40210427.76,0.08885,452552412
NEM,XEM,38802704.77,0.004311,8999999999
DigixDAO,DGD,27264371.87,13.63,2000000
Dogecoin,DOGE,24472522.17,0.0002303,106283238380
Lisk,LSK,22549615.80,0.2255,100000000
Factom,FCT,20511381.43,2.3433,8753219
Waves,WAVES,19662939.01,0.1966,100000000
Stellar,XLM,17464953.53,0.002867,6092409114
Emercoin,EMC,14998890.12,0.3881,38649148
BitShares,BTS,12345155.33,0.004796,2574280000
HyperSpace,AMP,12235349.25,0.1955,62585264
Nxt,NXT,11181083.68,0.01119,998999983
Counterparty,XCP,10640716.58,4.0572,2622655
Bytecoin,BCN,10017166.19,0.00005518,181548036528
Siacoin,SC,8769028.00,0.0004604,19047465122
ShadowCash,SDC,8622536.65,1.3098,6582861
Storjcoin X,SJCX,8428982.89,0.1675,50318144
Xaurum,XAUR,7597143.35,0.092,82578715
Peercoin,PPC,7232361.34,0.3073,23535784
BitCrystals,BCY,6960930.88,0.1658,41987655
Tether,USDT,6951574.79,0.9999,6951591
GameCredits,GAME,6680263.62,0.1157,57728025
YbCoin,YBC,5032548.63,1.6710,3011777
I/O Coin,IOC,4816729.62,0.2958,16284125
Namecoin,NMC,4276637.60,0.2902,14736400
Syscoin,SYS,3973128.80,0.008179,485758091
NautilusCoin,NAUT,3956200.89,0.2445,16180000
FedoraCoin,TIPS,3824854.48,0.00000873,437935652104
BitcoinDark,BTCD,3312837.58,2.5704,1288862
Stratis,STRAT,3116374.81,0.03177,98096169
Rubycoin,RBY,3109470.86,0.1321,23532866
HitCoin,HTC,2958383.49,0.000269,10996318099
GridCoin,GRC,2849327.56,0.007476,381111412
Global Currency Reserve,GCR,2791739.73,0.02749,101554451
Decred,DCR,2715344.96,0.977,2779268
NavCoin,NAV,2670235.71,0.0448,59599414
Omni,OMNI,2438198.23,4.3984,554334
Vcash,XVC,2403587.24,0.1618,14857745
DigiByte,DGB,2357151.89,0.0003238,7278926427
BlackCoin,BLK,2346648.94,0.031,75698950
SuperNET,UNITY,2328355.25,2.8532,816061
HiCoin,XHI,2327405.39,0.0205,113552128
Gulden,NLG,2297078.29,0.007135,321929003
Yocoin,YOC,2286274.88,0.07046,32447409
VPNCoin,VASH,2081321.88,0.005199,400339746
Steem Dollars,SBD,2059836.89,0.9166,2247188
SolarCoin,SLR,1941660.30,0.05608,34625536
Qwark,QWARK,1939920.98,0.03116,62261500
Expanse,EXP,1684873.96,0.4369,3856081
Curecoin,CURE,1639161.14,0.06202,26431310
LBRY Credits,LBC,1601023.42,0.1098,14583000
Clams,CLAM,1571821.99,0.8135,1932253
Scotcoin,SCOT,1566502.61,0.001566,1000000000
Virtacoin,VTA,1558033.26,0.0001317,11829009792
Pluton,PLU,1503445.87,1.7688,850000
MonaCoin,MONA,1402061.09,0.03548,39512100
Nexus,NXS,1349597.40,0.03211,42027331
Radium,RADS,1284158.29,0.4354,2949394
GoldCoin,GLC,1262531.58,0.03172,39805752
Auroracoin,AUR,1253072.32,0.1452,8631232
Adzcoin,ADZ,1239905.44,0.02587,47931520
EarthCoin,EAC,1227268.10,0.0001313,9346468332
Burst,BURST,1193460.11,0.0007514,1588267265
Blocknet,BLOCK,1192872.07,0.305,3910516
VeriCoin,VRC,1189270.05,0.04278,27802562
DNotes,NOTE,1181921.55,0.01066,110895736
Swiscoin,SCN,1142613.72,0.02459,46464323
Primecoin,XPM,1134966.19,0.06965,16294299
ReddCoin,RDD,1121942.36,0.00003973,28240384283
Feathercoin,FTC,1050307.22,0.007656,137186360
Vertcoin,VTC,1016028.34,0.03451,29442045
PotCoin,POT,968652.33,0.00452,214305006
RevolutionVR,RVR,961688.08,0.03053,31500000
Boolberry,BBR,955843.44,0.1171,8163753
WorldCoin,WDC,878209.04,0.008096,108469468
Qora,QORA,855309.55,0.00008553,10000000000
