name,symbol,marketcap,price,supply
Bitcoin,BTC,372876821416.38,19446.43,19174568
Ethereum,ETH,162317860620.66,1322.60,122725943
Tether,USDT,68382659680.26,1.0002,68371859092
USD Coin,USDC,46061806382.74,0.9999,46062124068
BNB,BNB,44890165689.89,278.24,161337261
XRP,XRP,26627502146.72,0.5341,49858575704
Binance USD,BUSD,21630677038.28,1.0001,21628100611
Cardano,ADA,14497057762.59,0.4231,34266157110
Solana,SOL,11755441423.90,32.91,357157550
Dogecoin,DOGE,8246227943.43,0.06216,132670764300
Polkadot,DOT,7284545513.46,6.4752,1124986033
Polygon,MATIC,7209102274.10,0.8254,8734317475
Dai,DAI,6763322037.14,0.9999,6764094331
Shiba Inu,SHIB,6060567453.90,0.00001104,549063278876302
TRON,TRX,5763907265.38,0.06243,92330377361
Uniswap,UNI,5052317445.62,6.6285,762209327
Avalanche,AVAX,5005639211.14,16.90,296138149
Wrapped Bitcoin,WBTC,4761346233.92,19445.46,244856
UNUS SED LEO,LEO,3914942521.01,4.1039,953954130
Litecoin,LTC,3846476822.99,53.91,71349919
Cosmos,ATOM,3781447474.57,13.20,286370297
Chainlink,LINK,3749070663.48,7.6263,491599970
Ethereum Classic,ETC,3703402193.75,26.97,137294095
Stellar,XLM,3290613439.29,0.1288,25540263699
FTX Token,FTT,3231788706.63,24.12,133975253
NEAR Protocol,NEAR,2827378134.83,3.5174,803829008
Cronos,CRO,2701887505.16,0.107,25263013692
Monero,XMR,2649331174.14,145.69,18185182
Algorand,ALGO,2376116425.38,0.3387,7015289422
Bitcoin Cash,BCH,2250346250.88,117.23,19196331
Quant,QNT,1883015716.95,155.97,12072738
Terra Classic,LUNC,1881826752.35,0.0003059,6151072613161
Flow,FLOW,1765414159.17,1.7037,1036200000
VeChain,VET,1677078769.99,0.02313,72511146418
ApeCoin,APE,1616565807.45,5.2678,306875000
Toncoin,TON,1610212486.77,1.3183,1221401181
Filecoin,FIL,1610194305.03,5.4315,296456787
Internet Computer,ICP,1538660426.08,5.8576,262679175
Hedera,HBAR,1380126829.55,0.06009,22968168351
Elrond,EGLD,1337220984.70,56.81,23536424
Tezos,XTZ,1301426886.86,1.4273,911817360
Chiliz,CHZ,1290195639.10,0.215,6000386953
Decentraland,MANA,1284785086.07,0.6926,1855084192
The Sandbox,SAND,1253411374.11,0.8359,1499470108
EOS,EOS,1123651281.28,1.1205,1002769823
Aave,AAVE,1063856091.52,75.49,14093193
Theta Network,THETA,1061960803.25,1.0620,1000000000
Axie Infinity,AXS,1032317507.79,12.43,83056187
Bitcoin SV,BSV,956167716.22,49.82,19192189
Pax Dollar,USDP,945589241.62,0.9999,945642940
OKB,OKB,935674014.62,15.59,60000000
Maker,MKR,965221227.60,987.31,977631
TrueUSD,TUSD,898348346.75,0.9995,898769136
KuCoin Token,KCS,886690394.28,9.0129,98379861
Zcash,ZEC,846791530.72,54.83,15444150
USDD,USDD,796319354.36,0.9997,796587675
eCash,XEC,782396791.58,0.00004076,19193179673303
IOTA,MIOTA,758171061.96,0.2728,2779530283
BitTorrent-New,BTT,730496249.44,0.00000077,942690250000000
Neutrino USD,USDN,670301169.51,0.9854,680266294
The Graph,GRT,665275983.99,0.09642,6900000000
PancakeSwap,CAKE,660080852.80,4.5597,144763132
Huobi Token,HT,642453336.75,4.1892,153357694
Neo,NEO,601318954.20,8.5247,70538831
Helium,HNT,591344648.36,4.6232,127909419
Klaytn,KLAY,575176353.42,0.188,3059767542
Fantom,FTM,564979716.78,0.222,2545006273
PAX Gold,PAXG,549838414.84,1690.72,325209
Synthetix,SNX,536845527.67,2.2509,238500594
THORChain,RUNE,530781378.05,1.6051,330688061
Nexo,NEXO,493410950.66,0.8811,560000011
GateToken,GT,470575819.79,4.3465,108265077
Dash,DASH,470359164.67,42.95,10950123
Curve DAO Token,CRV,469191949.37,0.8826,531583334
Lido DAO,LDO,455658306.71,1.4560,312951154
Enjin Coin,ENJ,452399427.50,0.4524,1000000000
Stacks,STX,451698227.75,0.3376,1338040599
Basic Attention Token,BAT,450563668.05,0.3012,1495680554
Zilliqa,ZIL,436830620.04,0.03262,13391651330
Kava,KAVA,431910941.61,1.5404,280385904
Compound,COMP,430601245.40,59.25,7267152
Ravencoin,RVN,420573788.89,0.03578,11755188546
Fei USD,FEI,416906694.37,0.981,424996178
Mina,MINA,411052317.50,0.5852,702456719
Waves,WAVES,411132985.12,3.7531,109545058
XDC Network,XDC,406028377.47,0.033,12305012699
Trust Wallet Token,TWT,392993067.09,0.9432,416649900
STEPN,GMT,386976793.07,0.645,600000000
Loopring,LRC,386081871.42,0.2903,1330133546
Casper,CSPR,383011181.92,0.03679,10411503605
Decred,DCR,378781737.32,26.28,14413324
Convex Finance,CVX,371929437.42,5.4951,67683254
NEM,XEM,372071497.66,0.04134,8999999999
Bitcoin Gold,BTG,372794211.51,21.29,17513924
Kusama,KSM,369749162.44,43.65,8470098
Ethereum Name Service,ENS,365582864.09,18.06,20244862
Celo,CELO,362934775.12,0.7756,467917103
1inch Network,1INCH,354303190.62,0.6068,583868821
Holo,HOT,348654676.77,0.002011,173342974127
TerraClassicUSD,USTC,336752483.10,0.03431,9814288367
Terra,LUNA,322979215.79,2.5337,127475474
Reserve Rights,RSR,317912649.33,0.007515,42302323974
BinaryX,BNX,309268106.69,152.88,2022898
Gemini Dollar,GUSD,300058993.30,0.9953,301483852
Qtum,QTUM,298916908.61,2.8642,104363336
Arweave,AR,296323411.26,8.8734,33394701
Oasis Network,ROSE,297195075.32,0.05912,5027383223
yearn.finance,YFI,296080806.23,8081.31,36638
Gala,GALA,294671441.50,0.04223,6977205436
Ankr,ANKR,293314629.79,0.03035,9662899378
Gnosis,GNO,291424748.78,112.97,2579588
Theta Fuel,TFUEL,279261101.50,0.05268,5301214400
Kadena,KDA,277786644.38,1.4026,198047245
IoTeX,IOTX,269817715.72,0.02828,9540779324
Golem,GLM,268561453.83,0.2686,1000000000
Celsius,CEL,259702775.77,1.0872,238863520
Braintrust,BTRST,256423267.42,2.0985,122191029
Polymath,POLY,243108927.21,0.2628,924998413
Harmony,ONE,243128063.37,0.01921,12659290134
OMG Network,OMG,239772522.98,1.7097,140245398
Livepeer,LPT,232528083.23,9.3711,24813389
0x,ZRX,231515324.95,0.2732,847496055
Hive,HIVE,228288367.87,0.5159,442482710
JUST,JST,228634483.22,0.02568,8902080000
Balancer,BAL,226969604.19,5.1792,43822910
Flux,FLUX,224451077.40,0.8066,278267539
ICON,ICX,220022086.34,0.2393,919483096
IOST,IOST,220076849.66,0.01184,18588745668
BORA,BORA,216703784.74,0.2336,927500000
Amp,AMP,210932712.29,0.004995,42227702186
Symbol,XYM,207659107.93,0.0372,5582460005
Serum,SRM,206159790.18,0.7831,263244669
Kyber Network Crystal v2,KNC,201102005.46,1.1310,177809350
Optimism,OP,198067292.29,0.8437,234748364
Ontology,ONT,197053124.17,0.2251,875249524
Moonbeam,GLMR,196440682.39,0.4929,398528784
Storj,STORJ,190704571.34,0.4618,412937122
WAX,WAXP,189786175.21,0.08664,2190495174
SwissBorg,CHSB,189563104.92,0.1896,1000000000
Siacoin,SC,184240973.02,0.003527,52242952992
SushiSwap,SUSHI,176029121.39,1.3834,127244443
SXP,SXP,174688712.37,0.3492,500213978
Horizen,ZEN,174751417.21,13.53,12911413
Chia,XCH,173900542.76,32.70,5317548
Immutable X,IMX,172517572.92,0.7332,235284001
WOO Network,WOO,171838017.69,0.1476,1164234163
Audius,AUDIO,166910035.25,0.2009,830924708
MXC,MXC,164449539.26,0.06224,2642132371
UMA,UMA,156979789.16,2.2768,68947415
APENFT,NFT,155846335.05,0.00000056,277080562500000
SKALE Network,SKL,153986554.04,0.03861,3988019337
PlayDapp,PLA,154098296.19,0.3156,488229678
ABBC Coin,ABBC,151259494.19,0.1483,1020228931
Secret,SCRT,150412246.28,0.9211,163295557
Smooth Love Potion,SLP,148063446.58,0.003452,42886663019
DigiByte,DGB,145059087.77,0.009234,15709550712
Voyager Token,VGX,140028838.64,0.5028,278482214
Injective,INJ,139981169.28,1.9174,73005554
Dogelon Mars,ELON,139856978.81,0.00000026,547589558602593
Civic,CVC,130808906.61,0.1308,1000000000
Pundi X (New),PUNDIX,129038145.81,0.4992,258491637
Lisk,LSK,129060676.68,1.0012,128900445
Nervos Network,CKB,127387454.86,0.003821,33340068750
Velas,VLX,127068778.04,0.05383,2360697169
COTI,COTI,126696985.02,0.1143,1108643952
Keep Network,KEEP,122194606.53,0.142,860762270
Ren,REN,122272017.11,0.1224,999037500
DAO Maker,DAO,121721967.17,1.3220,92074259
MediBloc,MED,121834349.33,0.01958,6222777786
Render Token,RNDR,118185059.46,0.4657,253798860
CEEK VR,CEEK,115216132.57,0.143,805717779
