name,symbol,marketcap,price,supply
Bitcoin,BTC,889385706663.30,46820.49,18995650
Ethereum,ETH,395441924035.77,3291.58,120137507
Tether,USDT,81362292667.84,1.0004,81331736008
BNB,BNB,71083302848.75,430.50,165116761
USD Coin,USDC,52083027076.46,1.0000,52080992407
XRP,XRP,41256704402.49,0.8573,48121609012
Cardano,ADA,39869330421.37,1.1821,33726172421
Solana,SOL,34798921340.59,107.08,324967786
Terra,LUNA,33552358834.73,94.15,356365476
Avalanche,AVAX,24006949474.71,89.82,267264014
Polkadot,DOT,22169044497.21,22.45,987579315
Dogecoin,DOGE,19201643339.56,0.1447,132670764300
Binance USD,BUSD,17582026844.83,1.0009,17566012234
TerraUSD,UST,16173236211.67,0.9993,16184071994
Shiba Inu,SHIB,14041471287.65,0.00002557,549063278876302
Polygon,MATIC,13041615028.76,1.6935,7701069511
Wrapped Bitcoin,WBTC,12826849672.70,46756.95,274330
Cronos,CRO,12256067158.59,0.4851,25263013692
Dai,DAI,9681422761.47,0.9999,9681708980
Litecoin,LTC,9049850375.67,129.40,69938381
NEAR Protocol,NEAR,8721182629.59,13.20,660882835
Cosmos,ATOM,8560676879.61,29.89,286370297
Chainlink,LINK,7868890176.06,16.85,467009550
Uniswap,UNI,7851622336.50,11.39,689060376
Bitcoin Cash,BCH,7161859648.85,376.54,19020313
FTX Token,FTT,7138823042.03,51.96,137385328
TRON,TRX,7034548746.58,0.06917,101698695570
Ethereum Classic,ETC,6435015640.85,48.08,133829599
Algorand,ALGO,6285552521.77,0.9484,6627758333
UNUS SED LEO,LEO,5834524513.53,6.1161,953954130
Stellar,XLM,5672964892.23,0.2298,24687940995
Decentraland,MANA,5034472174.03,2.7349,1840812368
Bitcoin BEP2,BTCB,4906139171.43,46672.13,105119
VeChain,VET,4782532766.17,0.07436,64315576989
Hedera,HBAR,4748059975.04,0.2427,19565356901
Internet Computer,ICP,4738550513.48,21.93,216041415
Filecoin,FIL,4328488049.63,23.68,182794939
Elrond,EGLD,4315956300.59,198.82,21708265
Axie Infinity,AXS,4160843310.37,68.31,60907500
ApeCoin,APE,3961795002.10,14.28,277500000
The Sandbox,SAND,4106778617.77,3.5734,1149278952
Monero,XMR,3893306984.62,215.11,18099008
Fantom,FTM,3639601618.84,1.4301,2545006273
Theta Network,THETA,3573316146.09,3.5733,1000000000
Waves,WAVES,3501968716.74,32.47,107848648
THORChain,RUNE,3445305732.03,10.42,330688061
Tezos,XTZ,3430110752.77,3.8588,888906385
Klaytn,KLAY,3244671732.65,1.1744,2762932495
Zcash,ZEC,2951886142.68,210.24,14040288
Helium,HNT,2811957853.56,24.63,114168616
EOS,EOS,2625882176.25,2.6649,985364500
Flow,FLOW,2441393923.76,6.8490,356458777
IOTA,MIOTA,2431660663.20,0.8748,2779530283
Aave,AAVE,2307755906.42,168.99,13656340
PancakeSwap,CAKE,2247412445.63,8.0588,278877674
The Graph,GRT,2029299534.15,0.4303,4715735200
Maker,MKR,2010258079.93,2056.25,977631
BitTorrent-New,BTT,1979943081.09,0.00000214,923767696429000
Harmony,ONE,1920656495.28,0.1622,11838762646
Stacks,STX,1879225219.89,1.4401,1304902522
eCash,XEC,1869905714.67,0.00009833,19016398423313
Neo,NEO,1838141779.75,26.06,70538831
Bitcoin SV,BSV,1802149599.96,94.77,19016152
Gala,GALA,1837559317.25,0.2634,6977205436
Quant,QNT,1796273221.13,148.79,12072738
Convex Finance,CVX,1647468286.58,29.84,55206612
Chiliz,CHZ,1612657065.98,0.2688,6000316458
Enjin Coin,ENJ,1565362321.58,1.7947,872224706
KuCoin Token,KCS,1540559379.35,19.23,80118638
Kusama,KSM,1474860945.41,174.13,8470098
Loopring,LRC,1468320854.76,1.1043,1329675414
Huobi Token,HT,1418833690.20,9.1142,155673013
Celo,CELO,1414346389.75,3.3093,427388610
Dash,DASH,1414730677.01,132.91,10643981
OKB,OKB,1374722915.51,22.91,60000000
TrueUSD,TUSD,1359700495.87,1.0002,1359459702
Nexo,NEXO,1349854581.85,2.4105,560000011
Basic Attention Token,BAT,1354290106.51,0.9046,1497173045
Zilliqa,ZIL,1331426848.92,0.1059,12574971667
Arweave,AR,1255592153.34,37.60,33394701
Curve DAO Token,CRV,1225027402.83,2.6137,468698358
Holo,HOT,1209174404.34,0.006978,173289911898
Kadena,KDA,1204003000.68,7.0291,171287601
Mina,MINA,1206021408.47,2.7768,434317994
Amp,AMP,1170428620.25,0.02772,42227702186
NEM,XEM,1059278792.40,0.1177,8999999999
Theta Fuel,TFUEL,1030820180.70,0.1944,5301214400
Oasis Network,ROSE,1005345011.15,0.2878,3493014306
Pax Dollar,USDP,946706231.43,1.0011,945642940
Decred,DCR,902064997.39,64.97,13883877
IoTeX,IOTX,889689848.14,0.09325,9540779324
Symbol,XYM,853761460.29,0.1529,5582460005
Qtum,QTUM,841485782.45,8.4943,99064932
Compound,COMP,838594097.34,125.95,6658055
Secret,SCRT,822133509.77,5.0346,163295557
yearn.finance,YFI,814799690.32,22239.37,36638
SXP,SXP,815766692.90,1.6997,479937576
Celsius,CEL,792865096.86,3.3193,238863520
Neutrino USD,USDN,789558813.31,0.9936,794630789
BORA,BORA,790799926.22,0.9182,861250000
Bitcoin Gold,BTG,765412499.31,43.70,17513924
OMG Network,OMG,760920522.72,5.4256,140245398
XDC Network,XDC,755630231.11,0.06141,12305012699
Ravencoin,RVN,758883306.58,0.07246,10473290000
Gnosis,GNO,750706132.23,402.52,1865027
ICON,ICX,728100237.52,0.9571,760733926
1inch Network,1INCH,724747259.77,1.7515,413781298
Ankr,ANKR,716738267.86,0.0878,8162899378
Bancor,BNT,699502277.83,2.7089,258227094
renBTC,RENBTC,682180388.91,46357.36,14716
