name,symbol,marketcap,price,supply
Bitcoin,BTC,799950408997.28,42197.52,18957287
Ethereum,ETH,344772260795.07,2883.46,119568797
Tether,USDT,78458775425.11,1.0005,78423051214
BNB,BNB,65862892979.34,398.89,165116761
USD Coin,USDC,52360369755.16,0.9999,52361250170
XRP,XRP,38757348317.38,0.8103,47832461678
Cardano,ADA,35153676037.03,1.0458,33613521329
Solana,SOL,29629765453.55,93.24,317765575
Terra,LUNA,20575427609.16,51.79,397247467
Dogecoin,DOGE,19761029254.18,0.1489,132670764300
Avalanche,AVAX,19193208560.33,78.24,245302195
Polkadot,DOT,18597584972.01,18.83,987579315
Binance USD,BUSD,17569100319.11,0.9987,17592568656
Shiba Inu,SHIB,16622010390.21,0.00003027,549063278876302
Crypto.com Coin,CRO,12749364798.95,0.5047,25263013692
Polygon,MATIC,12487206685.81,1.6700,7477274364
TerraUSD,UST,11501488897.17,1.0017,11482020482
Wrapped Bitcoin,WBTC,11055847796.73,42211.69,261914
Dai,DAI,10248068652.15,0.9994,10254500484
Litecoin,LTC,8787953885.83,126.20,69632807
Cosmos,ATOM,7544743203.25,26.35,286370297
Chainlink,LINK,7348799513.79,15.74,467009550
NEAR Protocol,NEAR,6620109426.93,10.42,635044083
TRON,TRX,6561416688.58,0.06446,101783978825
Uniswap,UNI,6569501053.46,10.39,632255017
Bitcoin Cash,BCH,6356662694.63,334.87,18982394
FTX Token,FTT,6145757018.06,44.53,138024908
Algorand,ALGO,5958980297.66,0.9007,6615870484
UNUS SED LEO,LEO,5566788541.81,5.8355,953954130
Stellar,XLM,5269544356.84,0.2116,24900875827
Decentraland,MANA,5194569702.24,2.8353,1832136198
Fantom,FTM,4835417099.70,1.9000,2545006273
Bitcoin BEP2,BTCB,4436171287.15,42189.53,105149
Ethereum Classic,ETC,4345659761.20,32.69,132950371
The Sandbox,SAND,4237100890.60,4.0810,1038254385
Hedera,HBAR,4116759110.16,0.2275,18092792421
Internet Computer,ICP,4101864386.73,19.86,206578830
Elrond,EGLD,3961582107.08,191.10,20730066
VeChain,VET,3639858615.86,0.05659,64315576989
Theta Network,THETA,3595296723.56,3.5953,1000000000
Axie Infinity,AXS,3560174713.75,58.45,60907500
Tezos,XTZ,3396277833.84,3.8689,877835037
Filecoin,FIL,3317372649.19,20.66,160536526
Monero,XMR,3152729958.40,174.39,18078417
Klaytn,KLAY,3121857461.06,1.1859,2632440256
Helium,HNT,2797091886.01,25.30,110574979
IOTA,MIOTA,2368107801.13,0.852,2779530283
EOS,EOS,2343006126.52,2.3898,980421461
Flow,FLOW,2336866087.11,7.1224,328099114
PancakeSwap,CAKE,2151157942.48,8.0285,267941683
Harmony,ONE,2154511409.61,0.184,11706551829
Aave,AAVE,2143907883.16,158.64,13514066
BitTorrent (New),BTT,1989900076.96,0.00000213,932497500000000
Gala,GALA,1970401274.74,0.2824,6977205436
The Graph,GRT,1925372068.87,0.4083,4715735200
Stacks,STX,1904420910.96,1.4670,1298157741
Maker,MKR,1892116318.13,1935.41,977631
Bitcoin SV,BSV,1765979008.61,93.05,18978458
Zcash,ZEC,1615166622.30,117.56,13739263
Huobi Token,HT,1556131692.38,9.9280,156741729
eCash,XEC,1559729563.93,0.00008218,18978310923313
KuCoin Token,KCS,1532174841.75,19.12,80118638
Neo,NEO,1540166410.40,21.83,70538831
TrueUSD,TUSD,1482293669.52,0.9997,1482801343
Enjin Coin,ENJ,1490840841.80,1.7443,854696206
Quant,QNT,1480501942.96,122.63,12072738
Kusama,KSM,1386155106.39,163.65,8470098
THORChain,RUNE,1304300999.94,3.9442,330688061
Convex Finance,CVX,1274343246.53,25.65,49687243
Amp,AMP,1271928464.05,0.03012,42227702186
OKB,OKB,1247084625.22,20.78,60000000
Curve DAO Token,CRV,1226613640.73,2.7622,444071197
Loopring,LRC,1214945661.02,0.914,1329247433
Basic Attention Token,BAT,1208755840.96,0.8082,1495585511
Chiliz,CHZ,1204037076.81,0.2015,5975068035
Celo,CELO,1199363879.96,2.9433,407486151
Kadena,KDA,1190313797.81,7.0930,167816066
Nexo,NEXO,1136082167.90,2.0287,560000011
Dash,DASH,1087285136.71,102.79,10577450
Arweave,AR,1079456734.18,32.32,33394701
Theta Fuel,TFUEL,1050990835.57,0.1983,5301214400
Oasis Network,ROSE,1020610399.02,0.2922,3493014306
Waves,WAVES,1014808683.35,9.4414,107485102
NEM,XEM,993232675.62,0.1104,8999999999
Pax Dollar,USDP,944964337.39,0.9993,945642940
Symbol,XYM,944541518.24,0.1692,5582460005
Mina,MINA,900561764.56,2.3890,376956108
Decred,DCR,885257385.99,64.32,13764120
Secret,SCRT,886009550.37,5.9140,149815729
BORA,BORA,868423413.11,1.0083,861250000
IoTeX,IOTX,845765891.70,0.08865,9540779324
yearn.finance,YFI,841521844.57,22968.73,36638
Holo,HOT,837568698.06,0.004837,173174228547
Compound,COMP,820237559.16,124.94,6565069
Celsius,CEL,738556120.77,3.0920,238863520
XDC Network,XDC,716092145.83,0.0582,12305012699
1inch Network,1INCH,691349501.87,1.6629,415744665
renBTC,RENBTC,682828573.23,41969.18,16270
Ravencoin,RVN,681863027.53,0.0651,10473290000
