name,symbol,marketcap,price,supply
Bitcoin,BTC,416840289162.08,21769.26,19148118
Ethereum,ETH,215523920726.08,1761.80,122331659
Tether,USDT,67670904333.26,1.0003,67652203603
USD Coin,USDC,51601695543.86,0.9999,51604205337
BNB,BNB,47620609271.56,295.16,161337261
Binance USD,BUSD,20000545579.16,0.9999,20003342405
XRP,XRP,17694152749.41,0.3551,49826021773
Cardano,ADA,17424373509.96,0.5098,34182044153
Solana,SOL,12352902118.71,34.97,353283628
Polkadot,DOT,8591192714.54,7.6982,1116007262
Dogecoin,DOGE,8452981187.22,0.06371,132670764300
Polygon,MATIC,7813837574.46,0.8946,8734317475
Shiba Inu,SHIB,7139366303.56,0.000013,549063278876302
Dai,DAI,6905721201.05,1.0002,6904361909
Avalanche,AVAX,6108060998.97,20.66,295663081
TRON,TRX,5920754258.74,0.0641,92370658148
Wrapped Bitcoin,WBTC,5408505484.18,21733.27,248858
Ethereum Classic,ETC,5266558381.13,38.49,136818647
Uniswap,UNI,4843933320.19,6.4941,745895690
UNUS SED LEO,LEO,4828057845.41,5.0611,953954130
Cosmos,ATOM,4490895716.01,15.68,286370297
Litecoin,LTC,4428570473.83,62.24,71148981
Chainlink,LINK,3940359449.31,8.0154,491599970
NEAR Protocol,NEAR,3821653580.37,4.8935,780961157
FTX Token,FTT,3734694704.03,27.85,134088740
Cronos,CRO,3114275591.69,0.1233,25263013692
Stellar,XLM,2896290608.37,0.1143,25328343622
Monero,XMR,2886991192.05,158.86,18173138
Terra Classic,LUNC,2579453692.61,0.0004193,6151072613161
Bitcoin Cash,BCH,2497152103.12,130.26,19171075
Algorand,ALGO,2255984696.88,0.3265,6910014020
Flow,FLOW,2190553058.39,2.1140,1036200000
VeChain,VET,1865299726.57,0.02572,72511146418
Internet Computer,ICP,1863424748.94,7.1737,259757034
Filecoin,FIL,1789917588.87,6.4047,279468401
ApeCoin,APE,1737586479.63,5.6622,306875000
EOS,EOS,1713138208.72,1.7126,1000339623
Tezos,XTZ,1528793905.73,1.6827,908534660
Decentraland,MANA,1490511280.96,0.8035,1855087992
The Sandbox,SAND,1461452768.27,0.9746,1499470108
Hedera,HBAR,1350180060.33,0.06404,21084776584
Quant,QNT,1309223225.34,108.44,12072738
Aave,AAVE,1288621138.95,91.45,14090788
