name,symbol,marketcap,price,supply
Bitcoin,BTC,179540253701.40,9758.85,18397681
Ethereum,ETH,27276459502.40,245.17,111256534
Tether,USDT,9215681003.70,1.0030,9187991663
XRP,XRP,8974728442.39,0.2034,44112853111
Bitcoin Cash,BCH,4687107479.81,254.34,18428863
Bitcoin SV,BSV,3576181987.23,194.07,18427383
Litecoin,LTC,3029051320.83,46.67,64906385
Binance Coin,BNB,2713654464.64,17.45,155536713
EOS,EOS,2628357333.97,2.8162,933298819
Cardano,ADA,2246692653.28,0.08665,25927070538
Tezos,XTZ,2115782949.69,2.8899,732123822
Crypto.com Coin,CRO,1873371767.36,0.108,17348401826
Stellar,XLM,1603256958.34,0.079,20294296349
Chainlink,LINK,1522476590.65,4.3499,350000000
UNUS SED LEO,LEO,1244833512.33,1.2455,999498893
TRON,TRX,1212213636.77,0.01818,66682072191
Monero,XMR,1171616023.65,66.61,17589085
Huobi Token,HT,975970463.99,4.4321,220206912
Neo,NEO,831035876.51,11.78,70538831
Ethereum Classic,ETC,796352760.76,6.8466,116313299
Dash,DASH,745070743.48,78.13,9536219
USD Coin,USDC,735558465.33,1.0017,734331762
HedgeTrade,HEDG,726308752.17,2.5201,288208798
IOTA,MIOTA,669668930.67,0.2409,2779530283
HEX,HEX,665728109.78,0.00339,196358279612
Cosmos,ATOM,577194964.66,3.0269,190688439
Maker,MKR,546605932.53,543.57,1005577
Zcash,ZEC,487852972.72,52.30,9328244
NEM,XEM,416808612.63,0.04631,8999999999
MINDOL,MIN,414112631.88,2.4316,170303576
VeChain,VET,402171575.31,0.007252,55454734800
Ontology,ONT,398368421.83,0.5734,694802128
Counos X,CCXX,362097154.83,20.45,17707239
TNC Coin,TNC,353062336.92,0.1528,2310424689
INO COIN,INO,352686723.22,1.9593,180003180
Basic Attention Token,BAT,344090620.52,0.2352,1463001432
OKB,OKB,328680394.06,5.4780,60000000
Dogecoin,DOGE,325471959.42,0.002606,124889558800
FTX Token,FTT,281462418.97,2.9833,94346958
Paxos Standard,PAX,245528373.86,1.0024,244951954
OMG Network,OMG,238082493.62,1.6976,140245398
THETA,THETA,231934460.48,0.2664,870502690
Zilliqa,ZIL,228194920.20,0.0224,10186822290
DigiByte,DGB,227208440.28,0.01719,13219348178
