name,symbol,marketcap,price,supply
Bitcoin,BTC,182685328095.43,9905.17,18443437
Ethereum,ETH,34656472192.79,309.64,111923744
Tether,USDT,9986931175.59,0.9989,9998221723
XRP,XRP,9641671805.39,0.215,44848773395
Bitcoin Cash,BCH,4559569200.50,246.82,18472925
Cardano,ADA,3839996381.14,0.1481,25927070538
Bitcoin SV,BSV,3510240761.52,190.04,18471483
Litecoin,LTC,3124123307.28,47.98,65114771
Crypto.com Coin,CRO,2824396975.44,0.1533,18422374429
Binance Coin,BNB,2818964002.61,19.52,144406560
Chainlink,LINK,2624651695.12,7.4990,350000000
EOS,EOS,2536659504.18,2.7140,934665827
Tezos,XTZ,2199951158.84,2.9823,737658849
Stellar,XLM,2020075131.15,0.09873,20460133305
Monero,XMR,1375282378.19,77.94,17644846
TRON,TRX,1327482791.03,0.01852,71659657369
UNUS SED LEO,LEO,1213178467.48,1.2138,999498893
USD Coin,USDC,1159911791.36,0.9974,1162915600
HEX,HEX,1147899231.14,0.004392,261390090121
VeChain,VET,973013081.73,0.01755,55454734800
Huobi Token,HT,923343912.98,4.2782,215825447
Neo,NEO,818578650.38,11.60,70538831
Ethereum Classic,ETC,770020737.48,6.6202,116313299
IOTA,MIOTA,746521132.70,0.2686,2779530283
Cosmos,ATOM,725576114.40,3.8050,190688439
Dash,DASH,722352833.12,75.10,9618774
Zcash,ZEC,636507086.17,65.76,9679294
Ampleforth,AMPL,603167882.43,2.8581,211039746
Maker,MKR,523777014.53,520.87,1005577
Ontology,ONT,492801884.10,0.7073,696743794
NEM,XEM,445634713.07,0.04951,8999999999
HedgeTrade,HEDG,411300606.10,1.4271,288208798
Dogecoin,DOGE,406166431.37,0.003235,125569414697
Compound,COMP,402850589.40,157.28,2561279
INO COIN,INO,395561674.33,2.1975,180003180
Basic Attention Token,BAT,377641646.91,0.254,1487012637
Counos X,CCXX,360727482.05,20.37,17709090
Insight Chain,INB,354080482.84,1.0119,349902689
