name,symbol,marketcap,price,supply
Bitcoin,BTC,98530059889.97,5392.31,18272312
Ethereum,ETH,13787534423.16,125.21,110111496
XRP,XRP,6743672546.94,0.1539,43818008717
Tether,USDT,4651590222.29,1.0020,4642367414
Bitcoin Cash,BCH,3268904772.35,178.31,18332575
Litecoin,LTC,2342660615.55,36.44,64293293
Bitcoin SV,BSV,2253595392.72,122.95,18329977
EOS,EOS,1888733327.30,2.0508,920959040
Storeum,STO,1745364165.99,6.2558,278998364
Binance Coin,BNB,1623183882.36,10.44,155536713
Tezos,XTZ,1086084385.73,1.5432,703807707
UNUS SED LEO,LEO,902431067.97,0.9029,999498893
Stellar,XLM,775568805.21,0.03828,20259499585
Chainlink,LINK,738223860.62,2.1092,350000000
Cardano,ADA,703131371.73,0.02712,25927070538
TRON,TRX,689783659.42,0.01034,66682072191
Huobi Token,HT,685469367.18,3.0557,224326293
Monero,XMR,665634161.67,38.07,17484202
TAGZ5,TAGZ5,613013673.64,1.5890,385790883
Ethereum Classic,ETC,588120115.62,5.0563,116313299
USD Coin,USDC,579058578.69,1.0031,577243722
Crypto.com Coin,CRO,463331234.76,0.03256,14231050228
Dash,DASH,445668961.01,47.50,9382665
Neo,NEO,423564301.55,6.0047,70538831
HedgeTrade,HEDG,417184856.18,1.4475,288208798
Cosmos,ATOM,369364423.93,1.9370,190688439
IOTA,MIOTA,366928241.22,0.132,2779530283
NEM,XEM,308292474.66,0.03425,8999999999
MINDOL,MIN,249200966.49,1.4633,170303676
Zcash,ZEC,242565185.36,25.78,9407594
Maker,MKR,238246349.16,241.69,985741
Ontology,ONT,224411837.94,0.349,642963241
OKB,OKB,224196176.21,3.7366,60000000
Paxos Standard,PAX,224097512.06,1.0056,222852532
INO COIN,INO,213220997.68,1.1845,180003180
Dogecoin,DOGE,208529246.53,0.001685,123737347590
FTX Token,FTT,201418943.01,2.0934,96214322
Basic Attention Token,BAT,179886437.56,0.1251,1438404738
PlayFuel,PLF,178468159.81,0.3569,500000000
Baer Chain,BRC,143981927.04,0.8275,174000000
VeChain,VET,140339840.84,0.002531,55454734800
Hedera Hashgraph,HBAR,138529903.72,0.04102,3377366918
