name,symbol,marketcap,price,supply
Bitcoin,BTC,205941632234.68,11523.58,17871325
Ethereum,ETH,23183002869.05,216.09,107282590
XRP,XRP,12943909473.68,0.3019,42872646068
Bitcoin Cash,BCH,6032155087.54,336.20,17942350
Litecoin,LTC,5655924170.02,89.75,63016781
Binance Coin,BNB,4675006646.40,30.06,155536713
Tether,USDT,4033923479.86,0.9977,4043425265
EOS,EOS,3885696388.68,4.1914,927071821
Bitcoin SV,BSV,2603968439.09,145.84,17854986
Monero,XMR,1582098857.94,92.25,17149467
Stellar,XLM,1528210579.04,0.07784,19632397508
Cardano,ADA,1425499839.14,0.05498,25927070538
TRON,TRX,1381358563.18,0.02072,66682072191
UNUS SED LEO,LEO,1308090043.35,1.3087,999498893
Dash,DASH,959670387.15,106.92,8975441
Tezos,XTZ,908558770.69,1.3758,660373612
Chainlink,LINK,838892496.39,2.3968,350000000
Neo,NEO,782180245.89,11.09,70538831
IOTA,MIOTA,748804365.21,0.2694,2779530283
Cosmos,ATOM,672076519.67,3.5245,190688439
Ethereum Classic,ETC,655125885.35,5.8164,112635047
NEM,XEM,537272449.01,0.0597,8999999999
Maker,MKR,509706631.41,509.71,1000000
Ontology,ONT,481446486.59,0.9028,533255142
Crypto.com Coin,CRO,430072827.88,0.04926,8730593607
Zcash,ZEC,429882940.46,59.95,7171181
USD Coin,USDC,421827378.63,0.9975,422866515
INO COIN,INO,404396768.28,2.2466,180003180
v.systems,VSYS,401493548.22,0.2258,1778044004
Dogecoin,DOGE,349886911.42,0.002898,120731920402
VeChain,VET,284659026.15,0.005133,55454734800
Decred,DCR,284158427.09,27.80,10220375
Bitcoin Gold,BTG,272016296.27,15.53,17513924
Basic Attention Token,BAT,265545398.96,0.208,1276725522
Qtum,QTUM,265271832.56,2.7651,95935356
HedgeTrade,HEDG,257642053.87,0.8934,288393355
Huobi Token,HT,254128250.02,5.0825,50000200
Egretia,EGT,224141028.40,0.05314,4218066109
PLATINCOIN,PLC,201914045.86,40.37,5001073
OmiseGO,OMG,199985433.97,1.4260,140245398
Paxos Standard,PAX,198653166.48,0.9981,199028059
TrueUSD,TUSD,197424987.89,0.9971,198000463
ThoreCoin,THR,170148447.01,1962.81,86686
Ravencoin,RVN,160043637.74,0.03833,4175945000
KuCoin Shares,KCS,155307773.24,1.7471,88896703
Lisk,LSK,153600177.32,1.2881,119249951
BitTorrent,BTT,149059126.18,0.0007027,212116500000
Nano,NANO,148695102.97,1.1159,133248297
Bitcoin Diamond,BCD,143367372.10,0.7688,186492898
Energi,NRG,138001097.27,7.0752,19504990
Waves,WAVES,132156349.95,1.3216,100000000
