name,symbol,marketcap,price,supply
Bitcoin,BTC,163364406731.87,9055.53,18040300
Ethereum,ETH,20559121064.62,189.48,108504416
XRP,XRP,12132388502.12,0.2802,43298481757
Bitcoin Cash,BCH,5313685658.36,293.48,18106063
Tether,USDT,4119110880.64,1.0027,4108044456
Litecoin,LTC,4063643935.84,63.84,63652108
EOS,EOS,3368114310.20,3.5845,939630194
Binance Coin,BNB,3185665329.36,20.48,155536713
Bitcoin SV,BSV,2434718388.39,134.75,18068415
Stellar,XLM,1568851587.39,0.07823,20054779554
TRON,TRX,1293789172.93,0.0194,66682072191
Cardano,ADA,1139696015.62,0.04396,25927070538
Monero,XMR,1105294084.01,63.90,17296526
UNUS SED LEO,LEO,991422947.03,0.9919,999498893
Chainlink,LINK,973925990.97,2.7826,350000000
Huobi Token,HT,941624371.79,3.9026,241284047
Tezos,XTZ,812505003.90,1.2304,660373612
Cosmos,ATOM,802408392.75,4.2080,190688439
Neo,NEO,779188899.96,11.05,70538831
IOTA,MIOTA,744181542.43,0.2677,2779530283
Maker,MKR,668400573.47,668.40,1000000
Dash,DASH,654651376.22,71.57,9147109
Ethereum Classic,ETC,580950062.03,5.0526,114979933
Ontology,ONT,492557279.61,0.8531,577351170
USD Coin,USDC,452610559.02,1.0021,451662057
Crypto.com Coin,CRO,413302205.32,0.03585,11529680365
INO COIN,INO,368767796.90,2.0487,180003180
NEM,XEM,364365244.58,0.04049,8999999999
Dogecoin,DOGE,338534498.37,0.002775,121995037872
Basic Attention Token,BAT,334550080.42,0.2466,1356386751
PRIZM,PZM,321342574.19,0.7156,449056890
VeChain,VET,318365023.64,0.005741,55454734800
Zcash,ZEC,294871842.43,37.69,7823444
Insight Chain,INB,255550960.52,0.7303,349902689
Paxos Standard,PAX,232530191.43,1.0045,231494688
Decred,DCR,222738730.94,20.90,10655951
HedgeTrade,HEDG,218661162.55,0.7584,288330855
Qtum,QTUM,210565674.02,2.1899,96154784
MEXC Token,MEXC,206228950.38,0.2241,920072826
0x,ZRX,185399135.80,0.3081,601745345
ThoreNext,THX,178330957.41,8.2361,21652254
TrueUSD,TUSD,173997299.78,1.0029,173501969
Holo,HOT,157342086.78,0.0009752,161335977822
Bitcoin Gold,BTG,155097943.03,8.8557,17513924
ThoreCoin,THR,148714426.06,1715.55,86686
v.systems,VSYS,145283768.33,0.07859,1848551823
Centrality,CENNZ,144322334.46,0.1357,1063737442
Ravencoin,RVN,142176946.46,0.02946,4826680000
OmiseGO,OMG,141323281.31,1.0077,140245398
Nano,NANO,139452701.99,1.0466,133248297
ZB Token,ZB,137317170.73,0.2964,463288810
ABBC Coin,ABBC,134730504.40,0.242,556626634
Augur,REP,134439183.09,12.22,11000000
Mixin,XIN,123333423.91,266.24,463250
Bytom,BTM,121505862.44,0.1212,1002499275
Terra,LUNA,116202628.95,0.4038,287765804
Algorand,ALGO,115679691.43,0.2698,428740574
Cryptonex,CNX,113313926.09,2.0349,55686329
EDUCare,EKT,108573180.18,0.1143,950000000
Synthetix Network Token,SNX,107631197.07,0.7488,143729615
DxChain Token,DX,104659408.64,0.002093,50000000000
KuCoin Shares,KCS,100763492.09,1.2234,82363551
Single Collateral DAI,SAI,100739950.91,1.0058,100162620
Silverway,SLV,97826774.82,0.9783,100000000
Bitcoin Diamond,BCD,97765795.69,0.5242,186492898
Lisk,LSK,95377659.96,0.7855,121421025
BitTorrent,BTT,95103574.84,0.0004484,212116500000
Komodo,KMD,92786670.34,0.7938,116882698
DigiByte,DGB,89779219.68,0.007196,12475952119
Aurora,AOA,88213570.24,0.01348,6542330148
Siacoin,SC,85417053.06,0.002043,41817047634
HyperCash,HC,84964511.28,1.9125,44426114
ICON,ICX,84531579.13,0.1678,503822570
Karatgold Coin,KBC,82762300.41,0.02205,3752557397
Swipe,SXP,82722727.40,1.3531,61135911
Waves,WAVES,79988014.16,0.7975,100299238
Quant,QNT,79536424.11,6.5881,12072738
GAPS,GAP,79455095.42,7.9455,10000000
Dimension Chain,EON,79173012.59,0.3234,244783561
THETA,THETA,78798549.07,0.09052,870502690
BitShares,BTS,77998849.18,0.02839,2747730000
Bytecoin,BCN,76199691.40,0.000414,184066828814
IOST,IOST,74088832.39,0.006167,12013965609
FTX Token,FTT,73721270.45,1.3982,52726324
Bitbook Gambling,BXK,72633156.91,0.1972,368387491
MonaCoin,MONA,72014843.96,1.0956,65729675
MCO,MCO,69587665.14,4.4060,15793831
Beldex,BDX,68966111.24,0.07036,980222595
Aeternity,AE,67821998.29,0.2335,290426214
OKB,OKB,64826993.55,3.2413,20000000
Verge,XVG,60659157.22,0.003781,16043496809
