name,symbol,marketcap,price,supply
Bitcoin,BTC,1495292967.14,133.48,11202375
Litecoin,LTC,58458016.95,3.2489,17993154
Namecoin,NMC,5251485.27,0.9304,5644600
Peercoin,PPC,3612498.62,0.1895,19059134
Novacoin,NVC,1225595.40,4.3087,284444
Devcoin,DVC,915607.00,0.0002015,4542720000
Terracoin,TRC,842448.90,0.3123,2697190
Freicoin,FRC,687220.00,0.0327,21014232
Feathercoin,FTC,654331.38,0.09878,6624450
CHNCoin,CNC,374915.45,0.07341,5106866
Mincoin,MNC,130393.11,0.1218,1070899
Ixcoin,IXC,127367.86,0.01007,12653618
BBQCoin,BQC,114258.29,0.006407,17833240
WorldCoin,WDC,61369.21,0.02565,2392562
BitBar,BTB,54030.08,17.36,3113
