name,symbol,marketcap,price,supply
Bitcoin,BTC,42494976233.71,2589.41,16411075
Ethereum,ETH,28138433535.28,303.25,92790090
XRP,XRP,11427040791.46,0.2984,38291387790
Litecoin,LTC,2271525851.06,43.92,51714482
Ethereum Classic,ETC,1990808257.18,21.42,92955426
NEM,XEM,1594635218.20,0.1772,8999999999
IOTA,MIOTA,1308995122.19,0.4709,2779530283
Dash,DASH,1276617820.94,172.88,7384532
BitShares,BTS,777820920.04,0.2996,2596340000
Stratis,STRAT,697417515.01,7.0848,98438822
Monero,XMR,673947365.71,45.89,14685464
Zcash,ZEC,512366179.67,330.04,1552444
Golem,GNT,468099980.41,0.5645,829252000
Waves,WAVES,462485313.42,4.6249,100000000
Bytecoin,BCN,460369810.98,0.002515,183060993956
Steem,STEEM,445070341.36,1.8935,235054917
Siacoin,SC,440222989.00,0.01617,27219036090
Iconomi,ICN,352689404.01,4.0539,87000000
BitConnect,BCC,346581883.99,51.16,6773896
Lisk,LSK,330272281.50,3.0360,108786925
Dogecoin,DOGE,325563348.11,0.002961,109952038479
Stellar,XLM,325334628.23,0.03337,9748546451
Augur,REP,307881290.44,27.99,11000000
Neo,NEO,297364640.24,5.9473,50000000
GameCredits,GAME,260945926.23,4.1234,63283752
Ardor,ARDR,256337457.30,0.2566,998999495
Factom,FCT,245351749.55,28.03,8753219
Gnosis,GNO,225132788.86,203.82,1104590
MaidSafeCoin,MAID,216971999.80,0.4794,452552412
Decred,DCR,201424596.21,38.81,5190021
Obyte,GBYTE,198721642.63,777.80,255492
Komodo,KMD,197940278.89,1.9609,100945510
DigiByte,DGB,196525643.39,0.02262,8688460433
Nxt,NXT,184114853.78,0.1843,998999983
DigixDAO,DGD,176579010.01,88.29,2000000
Veritaseum,VERI,172836243.07,87.86,1967276
Basic Attention Token,BAT,170222803.95,0.1702,1000000000
FirstBlood,1ST,157074680.37,1.8359,85558371
Tether,USDT,146596648.92,1.0132,144693825
MobileGo,MGO,143994867.80,2.0571,70000000
SingularDTV,SNGLS,116131541.13,0.1936,600000000
BitcoinDark,BTCD,115979552.58,89.99,1288862
Syscoin,SYS,112706358.95,0.2144,525697969
Numeraire,NMR,105886477.23,86.55,1223451
PIVX,PIVX,96899906.32,1.8041,53710161
Aragon,ANT,80961686.94,2.4092,33605167
MCAP,MCAP,78320917.20,4.7368,16534674
Ubiq,UBQ,73936816.65,1.9828,37289292
Emercoin,EMC,72710377.14,1.8039,40307223
Peercoin,PPC,70717465.68,2.9256,24172008
Ark,ARK,64752400.20,0.6758,95818606
Lykke,LKK,60312719.92,0.3689,163474012
Round,ROUND,58599302.92,0.06894,850000000
ReddCoin,RDD,53218038.06,0.001864,28545637953
iExec RLC,RLC,52493894.51,0.6639,79070793
Storjcoin X,SJCX,52293094.57,1.0219,51173144
Asch,XAS,51059165.60,0.6808,75000000
Quantum Resistant Ledger,QRL,49105180.50,0.9443,52000000
Melon,MLN,48389559.44,80.73,599400
Peerplays,PPY,47798599.34,13.15,3634443
Wings,WINGS,47276565.09,0.527,89708333
Nexus,NXS,46017680.85,0.9119,50462541
Namecoin,NMC,45587027.32,3.0935,14736400
HyperSpace,AMP,45071070.60,0.5479,82256324
Verge,XVG,44267705.70,0.003301,13409472280
Edgeless,EDG,44131648.54,0.5399,81733265
LEOcoin,LEO,43442109.35,0.5076,85581089
LBRY Credits,LBC,43312422.84,0.6321,68524524
Omni,OMNI,43106612.91,77.09,559166
BitBay,BAY,43105312.99,0.04278,1007568685
Counterparty,XCP,42123728.50,16.09,2618597
BlackCoin,BLK,41756607.13,0.5479,76214323
CloakCoin,CLOAK,40185766.72,7.9754,5038715
XEL,XEL,40161082.27,0.6312,63623070
EarthCoin,EAC,38716622.13,0.004142,9346468332
Gulden,NLG,37575766.79,0.108,347915645
Mysterium,MYST,36485579.37,1.8779,19429024
Zcoin,XZC,35364062.39,14.67,2410607
Viacoin,VIA,35046898.40,1.5440,22699052
Vertcoin,VTC,34731961.60,0.9366,37083947
MonaCoin,MONA,32527714.93,0.6302,51617000
Xaurum,XAUR,31737614.68,0.2513,126289295
Cofound.it,CFI,30642719.94,0.2451,125000000
Burst,BURST,30596347.55,0.01705,1794372918
GridCoin,GRC,29037082.08,0.07439,390312753
OBITS,OBITS,28490269.10,1.7329,16440700
WeTrust,TRST,28320428.29,0.3073,92147500
YbCoin,YBC,28049925.54,9.2868,3020405
vSlice,VSL,27461758.12,0.8224,33390496
Blocknet,BLOCK,27302939.51,6.9011,3956313
PotCoin,POT,26877897.13,0.1237,217210505
NavCoin,NAV,25728029.06,0.4189,61420125
Etheroll,DICE,25426264.15,3.6315,7001623
Matchpool,GUP,25331901.76,0.3378,75000000
Humaniq,HMQ,24875811.53,0.1664,149461321
Expanse,EXP,24433352.71,3.2863,7434965
Shift,SHIFT,23415603.83,2.1484,10898869
LuckChain,BASH,23238291.51,0.03214,723002630
EDC Blockchain,EDC,22883677.32,0.02582,886211988
WorldCoin,WDC,22702244.21,0.1977,114852133
Monolith,TKN,22088251.42,0.9342,23644056
Radium,RADS,21290358.82,6.5086,3271091
DigitalNote,XDN,21212642.74,0.003082,6882798212
I/O Coin,IOC,21208516.23,1.2977,16343702
