name,symbol,marketcap,price,supply
Bitcoin,BTC,68263777323.30,4122.94,16557075
Ethereum,ETH,27300079135.16,288.75,94546748
Bitcoin Cash,BCH,8900563272.64,537.07,16572538
XRP,XRP,8168408463.99,0.213,38343841883
Litecoin,LTC,3257754252.61,61.61,52874057
Dash,DASH,2416792514.18,320.11,7549938
NEM,XEM,2312772273.76,0.257,8999999999
Monero,XMR,1692133440.18,112.33,15064478
IOTA,MIOTA,1377553722.27,0.4956,2779530283
Ethereum Classic,ETC,1303344867.19,13.66,95392483
Neo,NEO,1137368488.31,22.75,50000000
OmiseGO,OMG,1121242325.71,11.40,98312024
BitConnect,BCC,819219066.76,122.92,6664913
Qtum,QTUM,753971819.88,12.78,59000000
Lisk,LSK,736327421.68,6.5699,112075455
Stratis,STRAT,577246602.53,5.8581,98538148
Zcash,ZEC,458994578.92,212.91,2155856
Waves,WAVES,440792083.74,4.4079,100000000
Tether,USDT,405899671.38,1.0055,403697782
HyperCash,HC,383699890.14,11.42,33600000
Steem,STEEM,318291409.90,1.3215,240863966
Ark,ARK,289291841.26,2.9678,97476344
Bytecoin,BCN,286830659.09,0.001565,183253534612
MaidSafeCoin,MAID,278681542.99,0.6158,452552412
Stellar,XLM,269850561.72,0.01627,16586989973
TenX,PAY,269109141.68,2.5712,104661310
Golem,GNT,269098543.23,0.323,833032000
BitShares,BTS,263398547.33,0.1013,2599030000
EOS,EOS,250216187.46,0.7398,338238464
Augur,REP,237028884.89,21.55,11000000
Komodo,KMD,232557145.48,2.3038,100945510
Metal,MTL,220725483.83,11.44,19300994
Factom,FCT,205586591.45,23.51,8745102
Basic Attention Token,BAT,200025171.04,0.2,1000000000
Iconomi,ICN,186555764.24,1.8674,99900350
PIVX,PIVX,184129296.72,3.3944,54244531
Veritaseum,VERI,175717440.01,87.37,2011134
Civic,CVC,167754533.29,0.4934,340000000
Siacoin,SC,167452198.65,0.005716,29294116005
Obyte,GBYTE,166554924.65,285.25,583896
MCAP,MCAP,166442533.82,1.7995,92493063
Decred,DCR,164303230.31,28.69,5725976
DigixDAO,DGD,159276336.67,79.64,2000000
Nexus,NXS,158383540.99,3.0271,52321525
Dogecoin,DOGE,154851390.18,0.001395,111019420680
Gnosis,GNO,146251737.53,132.40,1104590
Syscoin,SYS,145617540.16,0.2761,527429910
Populous,PPT,144371107.81,3.4997,41252246
BitcoinDark,BTCD,140210844.06,108.79,1288862
DigiByte,DGB,133913977.82,0.01532,8742253657
Ardor,ARDR,127387929.82,0.1275,998999495
0x,ZRX,123274847.87,0.2465,500000000
GameCredits,GAME,116126649.92,1.8109,64124940
Verge,XVG,106761992.14,0.007962,13409472280
Status,SNT,102068482.72,0.02941,3470483788
SingularDTV,SNGLS,100217619.54,0.167,600000000
Binance Coin,BNB,94215899.71,0.9422,100000000
FunFair,FUN,93400250.47,0.02433,3839463249
Aeternity,AE,89503931.88,0.3841,233020472
MCO,MCO,88028790.76,8.9689,9814875
Gas,GAS,87979669.84,10.53,8354627
Blocknet,BLOCK,87320050.51,20.75,4207625
Lykke,LKK,87297126.49,0.326,267803084
Nxt,NXT,84213681.92,0.0843,998999942
Ubiq,UBQ,77441711.63,2.0436,37895297
NavCoin,NAV,72587395.10,1.1755,61751612
Bancor,BNT,69123241.10,2.3094,29931066
Particl,PART,68830566.70,8.9397,7699415
Voyager Token,VGX,64630772.32,0.9082,71166927
Aragon,ANT,64161471.78,1.9434,33015659
Wings,WINGS,58324530.48,0.6502,89708333
MobileGo,MGO,54217421.69,0.5531,98028887
GXChain,GXC,53434254.88,1.3190,40510000
NoLimitCoin,NLC2,53411054.98,0.2624,203532022
Storj,STORJ,51919987.27,0.537,96687937
Edgeless,EDG,51366584.45,0.6261,82046288
Tierion,TNT,49719491.11,0.1177,422506717
Monetha,MTH,47116107.60,0.2201,214079315
CloakCoin,CLOAK,46274739.19,9.0846,5093764
Cofound.it,CFI,46187499.91,0.1421,325000000
Bytom,BTM,44624071.79,0.04521,987000000
Agrello,DLT,44596621.64,0.5187,85978873
Pillar,PLR,44446052.31,0.07937,560000000
Gulden,NLG,41781937.05,0.1185,352452345
AdEx,ADX,41508477.71,0.7794,53253776
Melon,MLN,40159457.02,67.00,599400
XEL,XEL,40059090.68,0.4638,86374704
Waltonchain,WTC,39415007.57,1.5830,24898178
iExec RLC,RLC,39336480.31,0.4975,79070793
LEOcoin,LEO,39325974.05,0.4371,89962944
I/O Coin,IOC,37619445.57,2.2990,16363336
ReddCoin,RDD,35323905.80,0.001234,28614766566
Aidos Kuneen,ADK,35170798.42,3.9516,8900500
DECENT,DCT,34881654.70,0.6799,51306089
district0x,DNT,34781078.25,0.05797,600000000
Peercoin,PPC,34578738.36,1.4219,24319437
FairCoin,FAIR,34160526.52,0.6422,53193831
Vertcoin,VTC,33018148.82,0.8393,39339800
Monolith,TKN,31947526.69,1.3512,23644056
Quantum Resistant Ledger,QRL,31838396.31,0.6123,52000000
Loopring,LRC,31516821.17,0.04518,697538027
SONM,SNM,31468689.82,0.09497,331360000
Rise,RISE,30706768.41,0.2714,113139200
vSlice,VSL,30685868.83,0.919,33390496
Emercoin,EMC,29860300.93,0.7337,40698747
TaaS,TAAS,29704839.44,3.6466,8146001
Mothership,MSP,29679832.76,0.212,140000000
Counterparty,XCP,29619952.19,11.31,2617848
The ChampCoin,TCC,29502726.05,0.1789,164925727
