name,symbol,marketcap,price,supply
Bitcoin,BTC,16946921163.62,1047.87,16172725
Ethereum,ETH,1136005587.41,12.76,89039377
XRP,XRP,217744959.24,0.005878,37044621729
Litecoin,LTC,187593055.55,3.7623,49861857
Monero,XMR,181243460.81,12.99,13948472
Dash,DASH,160337876.76,22.55,7111189
Ethereum Classic,ETC,108831948.70,1.2229,88998351
MaidSafeCoin,MAID,86427840.27,0.191,452552412
NEM,XEM,57168590.36,0.006352,8999999999
Augur,REP,57094432.83,5.1904,11000000
Iconomi,ICN,30215630.92,0.3473,87000000
Factom,FCT,28675455.91,3.2760,8753219
Steem,STEEM,27920640.91,0.1191,234518955
Tether,USDT,24948452.90,0.9999,24950996
Waves,WAVES,24091626.70,0.2409,100000000
Golem,GNT,23632449.36,0.02882,820000000
Dogecoin,DOGE,22470828.40,0.0002076,108219481805
Zcash,ZEC,21419629.02,30.58,700481
DigixDAO,DGD,18642734.53,9.3214,2000000
Ardor,ARDR,15874677.34,0.01589,998999495
Stellar,XLM,14071724.80,0.002014,6987295521
Lisk,LSK,14010226.38,0.1355,103373735
GameCredits,GAME,13900499.83,0.2287,60786075
Komodo,KMD,11956763.61,0.1188,100616236
ShadowCash,SDC,11428277.62,1.7233,6631550
BitShares,BTS,10386622.16,0.004021,2583280000
BitCrystals,BCY,9476414.99,0.229,41386534
Bytecoin,BCN,9438252.04,0.00005172,182477490332
Counterparty,XCP,9417544.54,3.5943,2620119
SingularDTV,SNGLS,8915277.76,0.01486,600000000
Siacoin,SC,7935341.13,0.0003387,23431439640
Emercoin,EMC,7831511.67,0.1981,39526469
Xaurum,XAUR,7766256.67,0.08707,89192083
Obyte,GBYTE,7764119.19,66.02,117610
Decred,DCR,7747448.70,2.0113,3851876
Gulden,NLG,7724100.48,0.02268,340605345
Stratis,STRAT,7680453.66,0.07815,98276469
BitcoinDark,BTCD,7523007.92,5.8369,1288862
Peercoin,PPC,7346040.70,0.3076,23885324
Nxt,NXT,7323852.34,0.007331,998999983
EDC Blockchain,EDC,6862555.32,0.5038,13621634
I/O Coin,IOC,6836171.78,0.419,16313807
Storjcoin X,SJCX,6646280.51,0.1317,50468144
FirstBlood,1ST,6405066.55,0.07486,85558371
Neo,NEO,6145233.66,0.1229,50000000
Syscoin,SYS,5674030.75,0.01085,522884181
Golos,GOLOS,5663814.37,0.05126,110489920
Nexium,NXC,5232660.57,0.07866,66521586
Rubycoin,RBY,5027403.33,0.2092,24029742
Nexus,NXS,4592975.74,0.09765,47033094
Creditbit,CRB,4463906.26,0.356,12537895
PotCoin,POT,4237461.74,0.01963,215831087
YbCoin,YBC,3912954.63,1.2966,3017882
BitConnect,BCC,3842051.01,0.7221,5320799
Namecoin,NMC,3706389.21,0.2515,14736400
HyperSpace,AMP,3676471.01,0.0447,82256324
SolarCoin,SLR,3250602.04,0.09324,34863460
LoMoCoin,LMC,2759944.07,0.01313,210204405
GridCoin,GRC,2538794.42,0.006563,386819595
BlackCoin,BLK,2513414.66,0.03308,75970407
Qwark,QWARK,2412536.06,0.03869,62359801
NavCoin,NAV,2380207.68,0.03922,60684848
SIBCoin,SIB,2150851.28,0.1586,13562408
Global Currency Reserve,GCR,2081140.08,0.02036,102216524
vSlice,VSL,2064345.02,0.06182,33390496
DigiByte,DGB,2024405.50,0.0002516,8045709058
Aeon,AEON,2014516.09,0.1481,13602898
Zcoin,XZC,2005779.13,1.8317,1095034
Clams,CLAM,1972738.61,0.9232,2136861
Omni,OMNI,1884740.27,3.3893,556092
Pepe Cash,PEPECASH,1860484.30,0.002651,701884009
Veros,VRS,1804923.41,0.04844,37259509
Boolberry,BBR,1724021.38,0.1898,9085110
Adzcoin,ADZ,1717227.22,0.03264,52611400
Burst,BURST,1674715.83,0.00098,1708968391
Pascal,PASC,1642955.48,0.253,6494600
BitBay,BAY,1551650.22,0.00154,1007323786
Vertcoin,VTC,1534883.57,0.04584,33483913
Ubiq,UBQ,1513372.11,0.04171,36287351
Lykke,LKK,1435277.54,0.04784,30000000
NautilusCoin,NAUT,1407570.39,0.08699,16180000
Expanse,EXP,1394121.18,0.2591,5380792
Radium,RADS,1369953.76,0.4363,3140145
Curecoin,CURE,1270947.19,0.04808,26431310
MonaCoin,MONA,1265064.14,0.02757,45893700
PIVX,PIVX,1244163.77,0.02412,51579921
Incent,INCNT,1237048.73,0.05377,23008312
VPNCoin,VASH,1166463.56,0.002914,400339746
Steem Dollars,SBD,1110111.14,0.9902,1121056
BlockPay,BLOCKPAY,986019.95,0.1816,5428300
LBRY Credits,LBC,968949.53,0.01992,48643048
DubaiCoin,DBIC,967871.46,0.163,5937465
Bela,BELA,962056.73,0.0305,31538600
Auroracoin,AUR,949769.95,0.1097,8658139
CloakCoin,CLOAK,939013.73,0.1928,4871080
Feathercoin,FTC,920748.13,0.006036,152537320
Novacoin,NVC,908553.87,0.5529,1643383
VeriCoin,VRC,906453.01,0.03027,29946466
Yocoin,YOC,894401.71,0.01279,69918830
Viacoin,VIA,859133.07,0.03833,22416158
Donu,DONU,857537.94,0.2674,3207143
Qora,QORA,838357.01,0.00008384,10000000000
EarthCoin,EAC,837428.79,0.0000896,9346468332
Vcash,XVC,832486.82,0.055,15135027
Primecoin,XPM,802928.21,0.04453,18033133
DigitalNote,XDN,769201.32,0.0001119,6875717303
OKCash,OK,752261.94,0.01071,70226819
DNotes,NOTE,713061.65,0.00643,110895736
FoldingCoin,FLDC,697997.93,0.001498,465833654
Safex Token,SFT,684669.44,0.0003188,2147483647
CasinoCoin,CSC,680666.18,0.01763,38601187
TrumpCoin,TRUMP,667711.97,0.1022,6532017
Waves Community Token,WCT,657634.32,0.3288,2000000
Jupiter,JUP,642646.19,0.04715,13628655
HiCoin,XHI,639163.02,0.003369,189729990
OBITS,OBITS,635232.35,0.0541,11741814
Gambit,GAM,631317.71,0.4938,1278602
Hacker Gold,HKG,608320.14,0.03776,16110893
ION,ION,608119.64,0.05543,10970488
FLO,FLO,591948.13,0.004766,124197561
Wild Beast Block,WBB,568030.71,0.2607,2178981
GoldCoin,GLC,554096.53,0.01385,40016644
Project Decorum,PDC,534413.71,0.01069,50000000
Energycoin,ENRG,529796.32,0.004391,120666715
Diamond,DMD,521334.86,0.2661,1958997
PureVidz,VIDZ,510956.06,0.004086,125051945
Bitmark,BTM,498645.60,0.1278,3901180
NuShares,NSR,486856.97,0.0001886,2581198940
Megacoin,MEC,469218.80,0.01427,32886450
Asiadigicoin,ADCN,450273.96,0.05134,8769863
Spectrecoin,XSPEC,446578.58,0.02221,20110603
AsiaCoin,AC,435604.11,0.0006182,704583629
ZClassic,ZCL,431336.09,0.5704,756163
Riecoin,RIC,424826.60,0.01359,31253475
Shift,SHIFT,410837.62,0.03907,10515662
Circuits of Value,COVAL,410765.04,0.001027,400000000
SaluS,SLS,410368.02,0.4093,1002614
Infinitecoin,IFC,393988.36,0.00000435,90596274910
Veltor,VLT,389225.58,0.7125,546250
PutinCoin,PUT,384751.01,0.003877,99236592
HunterCoin,HUC,380808.45,0.02361,16132290
Round,ROUND,356275.81,0.0004192,850000000
Myriad,XMY,350936.59,0.0002403,1460374996
Zetacoin,ZET,340172.17,0.002054,165580423
Triggers,TRIG,336424.86,0.01048,32105593
WorldCoin,WDC,335423.60,0.002961,113282155
Startcoin,START,331603.48,0.007356,45079785
RevolutionVR,RVR,330501.78,0.01049,31500000
Bitcoin Plus,XBC,321368.94,3.4495,93163
